"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"83","8caf7e5e-b0c7-4529-93bf-63ae813100fb",0,FALSE,"Highland Common- Market Basket",c(192169.000031839, 905132.312495156),"MW"
"84","8ce8dafa-ec6e-4f35-a576-d5c1d552ba09",0,FALSE,"Simrah Gardens",c(191968.590449228, 905513.894288405),"MW"
"85","8ff6b02f-424d-47ac-bebe-221ff72ad6fe",0,FALSE,"Nobscot Shopping Center",c(205417.946826245, 897579.411417226),"MW"
"86","903773a0-1314-460e-9810-3c22b164c812",1,FALSE,"Crossing Blvd",c(200803.779173375, 893828.683258004),"MW"
"87","90c30055-3955-4685-b93c-1fef3ba34a72",1,FALSE,"California Ave",c(201429.446580765, 894228.011786144),"MW"
"88","90d27be8-691d-4ea4-adcc-00cbb1d5812e",0,FALSE,"Milford Library",c(198089.272349449, 877064.193776192),"MW"
"89","93c3d7b0-42dc-4d48-9737-1981aa9ab961",0,FALSE,"Hudson Stop and Shop",c(194783.763366458, 903066.994927583),"MW"
"90","971b9fce-55fe-420c-8e6a-550961919153",1,FALSE,"MetroWest Medical Center",c(206594.706044002, 892659.65709938),"MW"
"91","973e7245-055e-4757-a16e-259d6e4c6d02",0,FALSE,"Post Road Shopping Center",c(197034.122663825, 900144.615054693),"MW"
"92","983e3f34-0d83-4101-b4b5-a0ca7a043817",1,FALSE,"Hopkinton Center",c(198172.867904455, 886423.108920081),"MW"
"93","984664f1-2572-4ee0-a83c-4d3726e53cb7",0,FALSE,"Hudson Housing Authority",c(193964.945761762, 903760.940004858),"MW"
"94","9e7ed194-bd09-401e-9080-631f5fb9e4fa",0,FALSE,"Moran Park/Downtown MBTA",c(212556.525046339, 892786.083438323),"MW"
"95","a3640a4a-c010-4521-bc02-b37f2d886148",1,FALSE,"Cedar Gardens",c(211931.66625573, 891495.27205785),"MW"
"96","a3b507bc-cafe-4071-958c-dec4706d2474",1,FALSE,"Rose Kennedy Lane",c(207136.927043295, 893342.100845639),"MW"
"97","a47b8279-0bb0-4ade-9d53-0599d86376f4",0,FALSE,"Mall Rd/ Flutie Pass",c(209249.583019452, 894581.927897763),"MW"
"98","a8f64f01-0325-4fb4-bf93-aef4366af89f",1,FALSE,"Callahan Center",c(205960.21383615, 893682.801761006),"MW"
"99","a9cb54ef-5213-4abd-8314-1c47ee85a2a5",1,FALSE,"Framingham MBTA Station",c(206782.67710012, 891790.085602421),"MW"
"100","a9f61865-59af-41f8-95c8-547fa186ddb8",0,FALSE,"Nobscot Fire Station",c(205583.671261958, 897676.36808431),"MW"
"101","afec89f0-6720-473e-b019-2fb711b2003b",1,FALSE,"Academy Knoll Apartments",c(195016.283671366, 899055.480266568),"MW"
"102","b03a9fbb-fdfa-4ab5-9402-991021410042",1,FALSE,"Framingham Center",c(205397.635937393, 894448.620361832),"MW"
"103","b6082ce2-98f7-4a0a-a732-b515d167c4f8",0,FALSE,"Target Marlborough",c(199618.88436818, 899735.53686648),"MW"
"104","b6ba290f-922e-4480-b04f-445cbfc8ac13",0,FALSE,"Farm Road & Route 20",c(199319.757255508, 899707.405036441),"MW"
"105","b72833df-ee2d-46a5-8aa5-ccf9ec6143dd",1,FALSE,"Ashland High School",c(202274.884657714, 888902.062898334),"MW"
"106","b733ee7a-78ab-4474-b453-439df425e3fd",0,FALSE,"Senior Center",c(213392.736270536, 892860.481237531),"MW"
"107","b80dcf9b-8f7b-4b28-a288-01fbb3c2fc15",1,FALSE,"Concord St & Howard St/Downtown Common",c(206864.630815334, 891911.83206545),"MW"
"108","b9d83aa7-3d4f-43bb-886f-447d8d31b7df",1,FALSE,"St Patricks Manor",c(205774.715280026, 895335.250669674),"MW"
"109","bca44d7c-4431-4e9a-9156-5ae55ee413e4",1,FALSE,"Shoppers World Shelter",c(208664.549392432, 894374.766602209),"MW"
"110","bcc8eb6a-50a5-417d-b8db-117bc3f74984",1,FALSE,"White Bagley Rd & Boston Rd",c(198668.678148677, 894888.256533467),"MW"
"111","c0edc72a-7821-492a-a60a-a95bff165e98",0,FALSE,"Weston Rd",c(215446.104454583, 895000.670708489),"MW"
"112","c48fffe4-1842-4c6e-8999-7196473af1ae",0,FALSE,"Union Ave/ Lincoln St.",c(206464.512084809, 892739.117187375),"MW"
"113","cb816f41-d2a5-4e37-80a2-67be7895cfaa",1,FALSE,"Main St",c(196171.87954746, 899630.505910354),"MW"
"114","cd2f74e2-1bef-480b-8aee-6378137d7e1d",1,FALSE,"Homer Ave & Main St",c(202971.116670895, 889894.549613171),"MW"
"115","ce76635d-25b6-4a57-be84-d8d752274e48",2,FALSE,"Blandin Hub",c(207271.920595151, 891715.039044538),"MW"
"116","d05e1ba2-243c-487a-a043-fafbe84749ac",1,FALSE,"High St",c(205301.851554522, 894407.893915742),"MW"
"117","d380719e-09d7-4b21-9ec6-852e339ce2ce",1,FALSE,"Leonard Morse Hospital",c(213686.175435842, 892222.27841891),"MW"
"118","d40a3f8f-2d7f-4be2-9a4c-97c773cdf682",0,FALSE,"Milford Kohls",c(200876.934832407, 877492.098951199),"MW"
"119","d6e9d75f-ac14-4834-8840-7cffd1e4ff95",0,FALSE,"EMK Community Health",c(198445.603439726, 875221.778287136),"MW"
"120","d7eda352-7d9e-475f-82cd-25272993e8c8",0,FALSE,"Milford High School",c(197321.324095391, 877825.775843054),"MW"
"121","db6ae1dd-e747-431d-aa2a-93e552bdb6b4",0,FALSE,"Hannafords Plaza/ CVS",c(199817.436634012, 877750.193679188),"MW"
"122","e090f95b-ae87-482d-ae80-b41e78745b49",1,FALSE,"Sherwood Plaza",c(209448.61017851, 894267.28300838),"MW"
"123","e0cb1216-2b30-40e3-bd7c-345540011dd6",1,FALSE,"Market Basket",c(206028.129629073, 889668.158569661),"MW"
"124","e31c1291-d515-40be-9fa7-7c9957a40d91",1,FALSE,"Stop and Shop",c(204225.02126146, 894149.142054533),"MW"
"125","e64db440-9753-4405-b36b-0b2be2a507f6",2,FALSE,"Banana Lot/Intermodal Center",c(206802.845211314, 891848.934513652),"MW"
"126","e921d8eb-b80e-4a6e-a2fc-e44b2e898167",1,FALSE,"Ashland MBTA",c(201399.524012958, 890101.58027651),"MW"
"127","ebb1c886-7fc1-4fc9-8815-2d5b7e549418",0,FALSE,"East Main St Shelter at Beech St",c(198896.525175035, 877023.653217081),"MW"
"128","ee29f43e-5795-4735-b5e1-cdadde5ea0be",1,FALSE,"Newfield Drive West Central St",c(209110.315606234, 892396.600142479),"MW"
"129","ee992cdc-6325-4e10-81e4-478fe91cb0c9",0,FALSE,"Pinefield",c(208027.324823594, 897293.113499244),"MW"
"130","f1b3715d-148f-4a30-845f-45dcf2b67488",0,FALSE,"Route 20 & Felton St",c(193513.397390787, 898983.874194049),"MW"
"131","f22eb7a5-49ec-4a71-9166-a2c5ad582e52",1,FALSE,"Coolidge Gardens",c(212613.362216866, 892239.936417075),"MW"
"132","f5053b07-3236-4a92-8811-55c2dd7ee000",1,FALSE,"Second St at Rec Center",c(208241.899896617, 891804.741418642),"MW"
"133","f50f48a6-e47a-4c1c-8f35-a80047ac2bc6",1,FALSE,"Halstead Apartments",c(202526.22250449, 893682.517793856),"MW"
"134","f645b13e-55df-443e-bf7b-cd29dcbc7fbd",0,FALSE,"Central St / Cherry St",c(199478.453086614, 893971.966453061),"MW"
"135","fc96bab4-cc32-4985-ac8e-79c75beac40e",1,FALSE,"MassBay Community College",c(207171.287908126, 893432.979749299),"MW"
"136","fd7793f9-4f75-4421-b972-2b0c2d54bc69",0,FALSE,"Milford Target",c(200007.868790411, 878893.010154518),"MW"
"137","ff763433-1760-4b95-ab97-c2ff6dae38ff",0,FALSE,"Esplanade Housing",c(195015.927968363, 904627.398935167),"MW"
