"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"95","799213",2,FALSE,"West Main St and East Main St",c(238498.172208425, 873852.073124985),"BAT"
"96","799214",2,FALSE,"North Main St and Burkeside Ave",c(238537.311554943, 873787.531088293),"BAT"
"97","799215",2,FALSE,"North Main St and Hillcrest Ave",c(238576.769571041, 873703.108887297),"BAT"
"98","799216",2,FALSE,"North Main St and Woodland Ave",c(238644.682763911, 873541.535713897),"BAT"
"99","799217",2,FALSE,"North Main St and Manners Ave",c(238719.854364645, 873392.110037503),"BAT"
"100","799218",2,FALSE,"North Main St and Willow St",c(238821.865844239, 873265.602850644),"BAT"
"101","799219",2,FALSE,"North Main St and May Ave",c(238949.286678047, 873136.571624636),"BAT"
"102","799220",2,FALSE,"North Main St and Searles Ave",c(239059.069138832, 873027.104986208),"BAT"
"103","799221",2,FALSE,"North Main St and Martland Ave",c(239131.753427401, 872955.865526838),"BAT"
"104","799222",2,FALSE,"North Main St and Oak St",c(239242.218025496, 872843.739759073),"BAT"
"105","799223",2,FALSE,"North Main St and Herrod Ave",c(239386.520267625, 872701.259401631),"BAT"
"106","799224",2,FALSE,"North Main St and Rutland St",c(239460.311138812, 872596.041086407),"BAT"
"107","799225",2,FALSE,"North Main St and Vine St",c(239605.580083132, 872356.714757311),"BAT"
"108","799226",2,FALSE,"North Main St and Upland Road",c(239646.814983331, 872261.090167321),"BAT"
"109","799227",2,FALSE,"North Main St and Landsdowne St",c(239688.123084938, 872167.354480154),"BAT"
"110","799228",2,FALSE,"North Main St and Division St",c(239748.788832668, 871882.793276746),"BAT"
"111","799229",2,FALSE,"North Main St and Ford St",c(239758.549058889, 871677.474014975),"BAT"
"112","799230",2,FALSE,"North Main St and West Ashland St",c(239758.865508379, 871591.949489367),"BAT"
"113","799231",2,FALSE,"North Main St and Huntington St",c(239758.66494561, 871510.087472616),"BAT"
"114","799232",2,FALSE,"North Main St and Prospect St",c(239760.33560808, 871331.047052719),"BAT"
"115","799233",2,FALSE,"North Main St and Falmouth Ave",c(239760.799626058, 871204.64850677),"BAT"
"116","799234",2,FALSE,"North Main St and Wyman St",c(239760.159970506, 871083.242049719),"BAT"
"117","799235",2,FALSE,"North Main St and Haverhill St",c(239755.859125888, 870936.157114457),"BAT"
"118","799236",2,FALSE,"Linden St and North Montello St",c(239925.125540706, 870864.80419646),"BAT"
"119","799237",2,FALSE,"North Montello St and Court St",c(239951.894162781, 870696.124698322),"BAT"
"120","799238",2,FALSE,"North Main St and Battles St",c(239730.362470667, 871981.877835708),"BAT"
"121","799239",2,FALSE,"North Main St and Farrington St",c(239760.252555239, 871448.561917515),"BAT"
"122","799240",2,FALSE,"Montello St and School St",c(239937.253204503, 870341.596547122),"BAT"
"123","799241",2,FALSE,"Crescent St and VFW Pkwy",c(239821.892600586, 870215.776845392),"BAT"
"124","799242",2,FALSE,"Maple Ave and Main St",c(239699.968247529, 870061.587175604),"BAT"
"125","799243",2,FALSE,"Main St and Barlett St",c(239716.716413356, 869923.284580744),"BAT"
"126","799244",2,FALSE,"Main St and Park St",c(239734.813736607, 869795.319417795),"BAT"
"127","799245",2,FALSE,"Main St and Dover St",c(239770.647847683, 869530.279277154),"BAT"
"128","799246",2,FALSE,"Main St and Williams Pl",c(239792.230054606, 869401.012182907),"BAT"
"129","799247",2,FALSE,"Main St and Forest Ave",c(239806.023382731, 869317.663167859),"BAT"
"130","799248",2,FALSE,"Main St and David St",c(239861.362362446, 869072.726736803),"BAT"
"131","799249",2,FALSE,"Main St and Sheppard St",c(239896.419142101, 868961.296656869),"BAT"
"132","799250",2,FALSE,"Main St and Tribou St",c(239912.711303129, 868904.741649707),"BAT"
"133","799251",2,FALSE,"Main St and Nilsson St",c(239960.280906455, 868732.29265163),"BAT"
"134","799252",2,FALSE,"Main St and Calmar St",c(240011.563500213, 868547.647042203),"BAT"
"135","799253",2,FALSE,"Main St and West Chestnut St",c(240070.197874745, 868336.830400607),"BAT"
"136","799254",2,FALSE,"Main St and South St",c(240097.011653799, 868235.240063356),"BAT"
"137","799255",2,FALSE,"Main St and Lyon St",c(240153.887068599, 868028.968156355),"BAT"
