"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"90","2448875",3,FALSE,"North Andover Mall - Market Basket",c(229830.188906325, 937106.810804022),"MVRTA"
"91","2448876",0,FALSE,"Chickering Road & Peters Street",c(230708.116244701, 936295.904069122),"MVRTA"
"92","2448877",1,FALSE,"150 Appleton Street - Salvation Army",c(215517.32462449, 932213.505094384),"MVRTA"
"93","2448880",1,FALSE,"Merrimack Avenue & Draycott Avenue - Lenzis Bakery",c(220096.303009315, 934396.097016972),"MVRTA"
"94","2448881",1,FALSE,"Heritage Green Condominiums",c(230971.483789327, 937360.145557145),"MVRTA"
"95","2448882",1,FALSE,"McGovern Transportation Center",c(228426.351911487, 939156.506080998),"MVRTA"
"96","2448884",0,FALSE,"Heritage Green Condominiums",c(230985.507089103, 937359.475107191),"MVRTA"
"97","2448885",1,FALSE,"Merrimack Valley Hospital - Main Entrance",c(237183.264900237, 946191.152580015),"MVRTA"
"98","2448886",0,FALSE,"Village Plaza - Dollar Tree",c(224928.143657291, 942904.769102266),"MVRTA"
"99","2448888",1,FALSE,"Riverwalk",c(229210.526792177, 939257.744311146),"MVRTA"
"100","2448889",0,FALSE,"Lawrence Street & Birchwood St",c(226862.497908198, 941250.500463257),"MVRTA"
"101","2448890",1,FALSE,"Andover Square",c(229541.352357697, 933936.116123076),"MVRTA"
"102","2448891",0,FALSE,"Main Street & Central Street",c(229440.467989072, 934050.097002118),"MVRTA"
"103","2448896",1,FALSE,"Mt Vernon Street & North Street",c(225780.202048925, 936208.018892201),"MVRTA"
"104","2448901",0,FALSE,"Andover MBTA Station",c(229104.881362515, 934149.37485109),"MVRTA"
"105","2448906",1,FALSE,"Saints Memorial Hospital",c(216362.893676403, 932650.928231798),"MVRTA"
"106","2448907",1,FALSE,"Melrose Street & Water Street",c(226902.56453413, 938830.009852749),"MVRTA"
"107","2448908",1,FALSE,"Main Street & Sutton Street",c(230057.173999897, 939565.266006011),"MVRTA"
"108","2448910",0,FALSE,"BJs",c(231232.382021037, 945168.177716314),"MVRTA"
"109","2448911",0,FALSE,"Andover Commons",c(229152.190704887, 934423.173752858),"MVRTA"
"110","2448912",1,FALSE,"Water Street & Ames Street",c(226239.847142091, 938307.2658278),"MVRTA"
"111","2448914",2,FALSE,"Salisbury Beach",c(255596.640185711, 954856.927328991),"MVRTA"
"112","2448916",2,FALSE,"Heritage House",c(250628.653001178, 951017.959768169),"MVRTA"
"113","2448917",0,FALSE,"Kennedy Circle",c(237078.049197949, 946268.86161732),"MVRTA"
"114","2448918",0,FALSE,"Haverhill Commons, Target",c(231469.508578542, 948711.161491205),"MVRTA"
"115","2448919",4,TRUE,"Buckley Transportation Center",c(227586.458417441, 939769.623365274),"MVRTA"
"116","2448920",1,FALSE,"Merrimac Square",c(240705.718564963, 953828.653400213),"MVRTA"
"117","2448923",2,FALSE,"Andover Street & Newton Street",c(227273.166007448, 937957.961433896),"MVRTA"
"118","2448924",2,FALSE,"Andover Street & Winthrop Street",c(228098.715743881, 938311.812050485),"MVRTA"
"119","2448925",2,FALSE,"S Union Street & Market Street",c(228403.80864392, 938991.220350096),"MVRTA"
"120","2448926",2,FALSE,"Oakland Ave & Railroad Street",c(225639.015850994, 941261.290978785),"MVRTA"
"121","2448928",1,FALSE,"Plaza 114",c(228686.232724388, 937854.162787876),"MVRTA"
"122","2448930",3,FALSE,"Senior Center",c(227925.751473186, 940072.853810952),"MVRTA"
"123","2454407",1,FALSE,"Elm Street & Ring St",c(246675.305910988, 956510.059769463),"MVRTA"
"124","2454409",1,FALSE,"Al Prime Gas",c(246730.000482719, 956599.984599428),"MVRTA"
"125","2454410",1,FALSE,"49 Friend Street - Carriagetown Wine & Spirits",c(246350.359531275, 956394.272536319),"MVRTA"
"126","2454428",1,FALSE,"Merrimack Plaza - Market Basket",c(224475.61480908, 939438.644613922),"MVRTA"
"127","2454437",1,FALSE,"103 Broadway",c(227128.798086377, 939533.903219426),"MVRTA"
"128","2454448",0,FALSE,"Village Plaza -  Jo-Anns Fabrics",c(224823.877987516, 942947.317070181),"MVRTA"
"129","2454449",3,FALSE,"160 Winthrop Avenue",c(229008.691457144, 937556.92725247),"MVRTA"
"130","2454453",2,FALSE,"Union Street & Merrimack Street - New Balance",c(228404.982087884, 939232.952393526),"MVRTA"
"131","2454454",2,FALSE,"Union Street & Island Street",c(228401.487777969, 939549.707788461),"MVRTA"
"132","2454455",2,FALSE,"Union Street & Methuen Street",c(228402.670245476, 939667.882011523),"MVRTA"
"133","2454460",1,FALSE,"Union Street & Island Street",c(228388.914643143, 939571.852969899),"MVRTA"
"134","2454461",1,FALSE,"Union Street & Merrimack Street - New Balance",c(228388.712631864, 939232.181226062),"MVRTA"
