"","stop_id","passing_values","frequent_stop","stop_name","geometry","RTA"
"88","798365",0,FALSE,"Long Beach Dairy Maid",c(271772.70341604, 930892.639942173),"CATA"
"89","798366",0,FALSE,"Magnolia Ave & Carrie Ln",c(264810.210062245, 928636.398687523),"CATA"
"90","798367",0,FALSE,"Magnolia Ave & Westbrook Ln",c(264082.754395773, 926897.93396417),"CATA"
"91","798368",0,FALSE,"Magnolia Square",c(264472.361813241, 925482.441246179),"CATA"
"92","798369",0,FALSE,"Main St & Pleasant St",c(268794.221858293, 929486.898360733),"CATA"
"93","798370",0,FALSE,"Maplewood Ave & Cleveland St",c(268316.922190953, 930136.753252569),"CATA"
"94","798372",0,FALSE,"Sheedy Park",c(268662.899001386, 929881.894680944),"CATA"
"95","798373",0,FALSE,"McDonalds",c(268442.55535043, 930012.81403029),"CATA"
"96","798374",0,FALSE,"McPherson Park",c(268392.470110747, 929688.909836669),"CATA"
"97","798375",0,FALSE,"Millpond Medical Building",c(267434.506295648, 931172.434367304),"CATA"
"98","798376",0,FALSE,"Niles Beach",c(269452.826021703, 927720.817715765),"CATA"
"99","798380",0,FALSE,"Pigeon Cove Post Office",c(271758.767847069, 936582.615655022),"CATA"
"100","798381",0,FALSE,"Poplar Park",c(268111.888321376, 930771.15179848),"CATA"
"101","798382",0,FALSE,"Post Office - City Hall",c(268652.439783571, 929614.947525227),"CATA"
"102","798386",0,FALSE,"Ravenswood Park",c(266560.941647282, 927417.844667197),"CATA"
"103","798387",0,FALSE,"Rockport Market",c(272288.159118224, 934415.332700685),"CATA"
"104","798388",0,FALSE,"Train Station - Rockport",c(271657.900708552, 934335.538111647),"CATA"
"105","798389",0,FALSE,"Sayward St & Bass Ave",c(270121.169728745, 929884.183495162),"CATA"
"106","798390",0,FALSE,"Senior Center - Dunkin' Donuts",c(268981.147663871, 929557.836078666),"CATA"
"107","798393",0,FALSE,"South St & Eden Rd",c(273915.085625122, 933424.349898217),"CATA"
"108","798394",0,FALSE,"South St & Jerdens Ln",c(273189.859579184, 934177.700287897),"CATA"
"109","798395",0,FALSE,"Western Ave & Stage Fort Park",c(267437.417392921, 928976.045814742),"CATA"
"110","798398",0,FALSE,"Thatcher Rd & Marina Dr",c(270588.353686514, 930343.693917637),"CATA"
"111","798399",0,FALSE,"Thatcher Rd & Witham St",c(271429.069905169, 930688.784397567),"CATA"
"112","798400",0,FALSE,"Toad Hall Bookstore",c(272203.68921327, 934564.923611441),"CATA"
"113","798401",0,FALSE,"Washington St & Colburn St",c(268309.522113386, 935616.260622197),"CATA"
"114","798402",0,FALSE,"Washington St & Dennison St",c(267870.178476742, 933734.743798205),"CATA"
"115","798404",0,FALSE,"Washington St & Hodgkins St",c(267463.04769243, 931696.287283272),"CATA"
"116","798405",0,FALSE,"Washington St & Poplar St",c(267535.349412607, 930609.926581261),"CATA"
"117","798407",0,FALSE,"Washington St & Revere St",c(268020.320860837, 934958.136580765),"CATA"
"118","798408",0,FALSE,"Washington St & Stanwood St",c(267894.426365352, 932592.792244978),"CATA"
"119","798409",0,FALSE,"Washington St & Wheeler St",c(267272.265268403, 931194.001417498),"CATA"
"120","798410",0,FALSE,"Washington St & Woodbury St",c(270077.148145104, 937248.206647176),"CATA"
"121","798414",0,FALSE,"Train Station - West Gloucester",c(265227.336066823, 929306.96092827),"CATA"
"122","798415",0,FALSE,"Western Ave & Centennial Ave",c(267890.213158359, 929175.929405418),"CATA"
"123","798416",0,FALSE,"Western Ave & Hesperus Ave",c(266510.429856617, 927360.076213498),"CATA"
"124","798417",0,FALSE,"Western Ave & Magnolia Ave",c(264289.515600244, 926373.97245043),"CATA"
"125","798421",0,FALSE,"Willow Rest",c(267995.442365266, 932714.806369544),"CATA"
"126","801975",0,FALSE,"Atlantic St & Beach Rds",c(270749.306486596, 929893.280918698),"CATA"
"127","801976",0,FALSE,"Atlantic St & Grapevine Rds",c(270545.716831511, 927761.229635109),"CATA"
"128","801977",0,FALSE,"Atlantic St & High Popples Rds",c(270893.381608107, 928092.266804918),"CATA"
"129","801978",0,FALSE,"Thatcher Rd & Barn Ln at Vista Hotel",c(270661.781946563, 930499.838940065),"CATA"
"130","801979",0,FALSE,"East Gloucester Square",c(269619.456956054, 928912.028053394),"CATA"
"131","801980",0,FALSE,"Eastern Ave & Webster St",c(269755.490309988, 930172.272845984),"CATA"
"132","801981",0,FALSE,"Eastern Point Rd & Grapevine Rd",c(269334.422773867, 928167.608588452),"CATA"
"133","801982",0,FALSE,"Thatcher Rd & Marina Dr",c(270603.512481287, 930357.004358411),"CATA"
"134","801983",0,FALSE,"Thatcher Rd & Witham St",c(271428.553099194, 930674.635108138),"CATA"
"135","801985",0,FALSE,"Cape Hedge Inn",c(273755.24084458, 932653.939047135),"CATA"
"136","801986",0,FALSE,"Stop & Shop - CVS",c(270351.003416207, 930133.524244111),"CATA"
"137","801990",0,FALSE,"Shaw's Supermarket",c(270532.916387927, 930616.009877154),"CATA"
"138","802493",0,FALSE,"Maplewood Ave & Grove St",c(268191.776618205, 930446.336986226),"CATA"
"139","802495",0,FALSE,"Prospect St & Warner St",c(269004.189806319, 929875.546215697),"CATA"
"140","802496",0,FALSE,"Prospect St & Pleasant St",c(268706.698340906, 929753.131077553),"CATA"
"141","802509",0,FALSE,"Addison Gilbert Hospital",c(267282.4930311, 930924.877091473),"CATA"
"142","802510",0,FALSE,"Annisquam Village Church",c(267968.885606864, 934886.749241509),"CATA"
"143","802511",0,FALSE,"Annisquam Wooden Bridge",c(267723.264646259, 934104.574807072),"CATA"
"144","802512",1,FALSE,"Bay View Fire Station",c(268218.844834198, 935271.403462609),"CATA"
"145","802513",0,FALSE,"Cherry St & Reynard St",c(268092.565161091, 931519.120856474),"CATA"
"146","802514",0,FALSE,"Cherry St & Cherry Hill Rd",c(268061.928104099, 932250.817761939),"CATA"
"147","802515",0,FALSE,"Cherry St & Finch Ln",c(268185.971514357, 932018.336356469),"CATA"
"148","802517",0,FALSE,"Lanesville Post Office",c(268953.799920323, 936673.144531989),"CATA"
"149","802518",0,FALSE,"Pigeon Cove Post Office",c(271770.85180483, 936583.284050211),"CATA"
"150","802519",0,FALSE,"Stanwood St & Gee Ave",c(268047.082309741, 932512.190945778),"CATA"
"151","802520",1,FALSE,"Washington St & Dennison St",c(267884.654147043, 933750.004837997),"CATA"
"152","802522",0,FALSE,"Washington St & Wheeler St",c(267291.21334153, 931210.728234249),"CATA"
