timetable_id,stop_id,stop_sequence,stop_name,connected_routes
7,799659,13,Ames Street and Edgar Street,11/Cary Hill & The Village
7,799660,14,Sawtelle Avenue and St. Casimir Avenue,11/Cary Hill & The Village
7,799661,15,Sawtelle Avenue and Arthur Street,11/Cary Hill & The Village
7,799662,16,Arthur Street,11/Cary Hill & The Village
7,799663,17,Arthur Street and Intervale Street,11/Cary Hill & The Village
7,799664,18,Intervale Street and Bellevue Avenue,11/Cary Hill & The Village
7,799665,19,Intervale Street and Faxon Street,11/Cary Hill & The Village
7,799666,20,Intervale Street and Blendall Street,11/Cary Hill & The Village
7,799667,21,Crosby Gardens,11/Cary Hill & The Village
7,799668,22,Nort Avenue and Sawtelle Avenue,11/Cary Hill & The Village
7,799669,23,Sawtelle Avenue and Field Street,11/Cary Hill & The Village
7,799670,24,Field Street and Morgan Street,11/Cary Hill & The Village
7,799671,25,Field Street and Dyer Street,11/Cary Hill & The Village
7,799609,26,Field Street and Spark Street,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village"
7,799611,27,Spark Street and Sylvan Street,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village"
7,799612,28,Spark Street and Cameron Cooper Street,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village"
7,807108,29,Stop and Shop Plaza,11/Cary Hill & The Village
7,799673,30,Winter Street and Monument Street,11/Cary Hill & The Village
7,799674,31,Winter Street and Dyer Street,11/Cary Hill & The Village
7,799675,32,Winter Street and Andover Street,11/Cary Hill & The Village
7,799676,33,Winter Street and Sawtelle Avenue,11/Cary Hill & The Village
7,799677,34,Winter Street and Field Street,11/Cary Hill & The Village
7,799678,35,Winter Street and North Avenue,11/Cary Hill & The Village
7,799679,36,Winter Street and Baltic Avenue,11/Cary Hill & The Village
7,799680,37,Winter Street and N Cary Street,11/Cary Hill & The Village
7,799681,38,Winter St./N Carey St.,11/Cary Hill & The Village
8,799180,1,BAT Centre,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village, 12/Routes to Boston and Beyond , 14/Stoughton via Brockton, 1/Montello Street Via North Main Street, 2/S Plaza/Campello Via Main Street, 3/VA Hospital via Belmont, 4A/Westgate Mall via N Warren, 4/Westgate via Pleasant, 5/Brockton Hospital via Centre Street, 6/Massasoit via Crescent Street, 8/Southfield via Warren & Plain Street, 9/Pearl via W Elm & Torrey, BSU 28/Bridgewater - Brockton"
8,799648,2,N Montello Street and Linden Street,11/Cary Hill & The Village
8,799649,3,N Montello Street and Charles Street,11/Cary Hill & The Village
8,799650,4,N Montello Street and Elliott Street,11/Cary Hill & The Village
8,799651,5,N Montello Street and Lebanon Street,11/Cary Hill & The Village
8,799652,6,N  Montello Street and E Ashland Street,11/Cary Hill & The Village
8,799653,7,E Ashland Street and Mulberry Street,11/Cary Hill & The Village
8,799654,8,E Ashland Street and Emmett Street,11/Cary Hill & The Village
8,799655,9,E Ashland Street and River Street,11/Cary Hill & The Village
8,799656,10,Cary Hill Plaza,11/Cary Hill & The Village
8,799657,11,N Cary Street and Miller Avenue,11/Cary Hill & The Village
8,799658,12,Ames Street and Ridge Street,11/Cary Hill & The Village
8,799659,13,Ames Street and Edgar Street,11/Cary Hill & The Village
8,799660,14,Sawtelle Avenue and St. Casimir Avenue,11/Cary Hill & The Village
8,799661,15,Sawtelle Avenue and Arthur Street,11/Cary Hill & The Village
8,799662,16,Arthur Street,11/Cary Hill & The Village
8,799663,17,Arthur Street and Intervale Street,11/Cary Hill & The Village
8,799664,18,Intervale Street and Bellevue Avenue,11/Cary Hill & The Village
8,799665,19,Intervale Street and Faxon Street,11/Cary Hill & The Village
8,799666,20,Intervale Street and Blendall Street,11/Cary Hill & The Village
8,799667,21,Crosby Gardens,11/Cary Hill & The Village
8,799668,22,Nort Avenue and Sawtelle Avenue,11/Cary Hill & The Village
8,799669,23,Sawtelle Avenue and Field Street,11/Cary Hill & The Village
8,799670,24,Field Street and Morgan Street,11/Cary Hill & The Village
8,799671,25,Field Street and Dyer Street,11/Cary Hill & The Village
8,799609,26,Field Street and Spark Street,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village"
8,799611,27,Spark Street and Sylvan Street,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village"
8,799612,28,Spark Street and Cameron Cooper Street,"10/Lisa & Howard via N Quincy & Court, 11/Cary Hill & The Village"
