timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
64,2935,1,20150101,20190101,0,0,0,0,0,0,1,VA Hospital via Belmont,Year Round Service (Sunday only),Westbound,horizontal
65,2935,1,20150101,20190101,0,0,0,0,0,1,0,VA Hospital via Belmont,Year Round Service (Saturday only),Westbound,horizontal
66,2935,1,20150101,20190101,1,1,1,1,1,0,0,VA Hospital via Belmont,Year Round Service (Monday-Friday),Westbound,horizontal
67,2935,0,20180424,20180625,1,1,1,1,1,0,0,VA Hospital via Belmont,School Calendar (Monday-Friday),Eastbound,horizontal
68,2935,1,20180424,20180625,1,1,1,1,1,0,0,VA Hospital via Belmont,School Calendar (Monday-Friday),Westbound,horizontal
69,2937,0,20150101,20190101,0,0,0,0,0,0,1,Westgate Mall via N Warren,Year Round Service (Sunday only),Eastbound,horizontal
70,2937,0,20150101,20190101,0,0,0,0,0,1,0,Westgate Mall via N Warren,Year Round Service (Saturday only),Eastbound,horizontal
71,2937,0,20150101,20190101,1,1,1,1,1,0,0,Westgate Mall via N Warren,Year Round Service (Monday-Friday),Eastbound,horizontal
72,2937,1,20150101,20190101,0,0,0,0,0,0,1,Westgate Mall via N Warren,Year Round Service (Sunday only),Westbound,horizontal
73,2937,1,20150101,20190101,0,0,0,0,0,1,0,Westgate Mall via N Warren,Year Round Service (Saturday only),Westbound,horizontal
74,2937,1,20150101,20190101,1,1,1,1,1,0,0,Westgate Mall via N Warren,Year Round Service (Monday-Friday),Westbound,horizontal
75,2936,0,20150101,20190101,0,0,0,0,0,0,1,Westgate via Pleasant,Year Round Service (Sunday only),Eastbound,horizontal
76,2936,0,20150101,20190101,0,0,0,0,0,1,0,Westgate via Pleasant,Year Round Service (Saturday only),Eastbound,horizontal
77,2936,0,20150101,20190101,1,1,1,1,1,0,0,Westgate via Pleasant,Year Round Service (Monday-Friday),Eastbound,horizontal
78,2936,1,20150101,20190101,0,0,0,0,0,0,1,Westgate via Pleasant,Year Round Service (Sunday only),Westbound,horizontal
79,2936,1,20150101,20190101,0,0,0,0,0,1,0,Westgate via Pleasant,Year Round Service (Saturday only),Westbound,horizontal
80,2936,1,20150101,20190101,1,1,1,1,1,0,0,Westgate via Pleasant,Year Round Service (Monday-Friday),Westbound,horizontal
