stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
800024,,,Temple Ahavath Torah Cong.,,42.134287,-71.107708,,,0,,America/New_York,,,0
799643,,,Court Street and Gardener Avenue,,42.087055,-71.007404,863,,0,,America/New_York,,,0
799740,,,N Main Street and Saratoga Avenue,,42.194181,-71.060326,866,,0,,America/New_York,,,0
799712,,,Avon Square,,42.1317550653267,-71.0403308773155,867,,0,,America/New_York,,,0
799892,,,Sumner Street W and Ray Avenue,,42.095879,-71.079347,863,,0,,America/New_York,,,0
799754,,,Randolph Avenue and Highland Street,,42.240585,-71.069359,865,,0,,America/New_York,,,0
799370,,,Pleasant Street and Irving Avenue,,42.088589,-71.062016,863,,0,,America/New_York,,,0
799565,,,Torrey Street and Harwich Road,,42.073597,-71.047041,863,,0,,America/New_York,,,0
799242,,,Maple Avenue and Main Street,,42.079955,-71.020206,863,,0,,America/New_York,,,0
799346,,,Pleasant Street and Elmwood Avenue,,42.089536,-71.041132,863,,0,,America/New_York,,,0
799575,,,Court Street and Manchester Street,,42.086536,-71.01051,863,,0,,America/New_York,,,0
799948,,,N Warren Avenue at Spring Street,,42.086349,-71.023726,863,,0,,America/New_York,,,0
799513,,,Warren Avenue and Sheppard Street,,42.0692032403078,-71.0205928981476,863,,0,,America/New_York,,,0
799676,,,Winter Street and Sawtelle Avenue,,42.109989,-71.014242,863,,0,,America/New_York,,,0
799709,,,W Main Street and Gill Street,,42.124513,-71.041391,867,,0,,America/New_York,,,0
799692,,,E Ashland Street and Thayer Street,,42.097204,-71.005377,863,,0,,America/New_York,,,0
799214,,,N Main Street and Burkeside Avenue,,42.113558,-71.034011,863,,0,,America/New_York,,,0
799489,,,Carl Avenue and Atherton Street,,42.061827,-70.998521,863,,0,,America/New_York,,,0
799387,,,Warren Avenue and Highland Street,,42.084126,-71.023151,863,,0,,America/New_York,,,0
799194,,,N Main and Vine Street,,42.100534,-71.020959,863,,0,,America/New_York,,,0
800013,,,Central Street at Mill Street,,42.131787,-71.134093,,,0,,America/New_York,,,0
799453,,,Crescent Street and Hill Street,,42.080401,-70.998517,863,,0,,America/New_York,,,0
799996,,,Central Street across from Water Works,,42.13072,-71.128709,,,0,,America/New_York,,,0
799983,,,Washington Street and Lincoln Street (Friendly's),,42.129095,-71.101781,,,0,,America/New_York,,,0
799314,,,Belmont Street at VA Entrance,,42.064961,-71.054913,863,,0,,America/New_York,,,0
799979,,,Park Street and Sumner Street at Park Avenue,,42.121625,-71.096191,,,0,,America/New_York,,,0
799635,,,N Quincy Street and Leland Street,,42.096896,-70.990099,863,,0,,America/New_York,,,0
799985,,,472 Washington Street at Car wash,,42.133274,-71.101649,,,0,,America/New_York,,,0
807058,,,Weygand/Parking Garage,,41.984266,-70.962975,,,0,,America/New_York,,,0
799546,,,Bristol Drive and Norfolk Avenue,,42.049903,-71.075621,,,0,,America/New_York,,,0
799456,,,Crescent Street and wendell Avenue,,42.080194,-71.005719,863,,0,,America/New_York,,,0
799471,,,Warren Avenue and Menlo Street,,42.069215,-71.020754,863,,0,,America/New_York,,,0
800041,,,Park Street opposite Tenth Street,,42.112057,-71.074358,,,0,,America/New_York,,,0
799577,,,Court Street and Albert Avenue,,42.086938,-71.007579,863,,0,,America/New_York,,,0
799525,,,W Elm Street and Ash Street,,42.0809657405084,-71.034409,863,,0,,America/New_York,,,0
799856,,,Oak Street and Belair Street,,42.101105,-71.039583,863,,0,,America/New_York,,,0
799836,,,S Main Street and Fitch Terrace,,42.153375,-71.045202,866,,0,,America/New_York,,,0
799479,,,Plain Street and Montello Street Ext.,,42.0604,-71.013171,863,,0,,America/New_York,,,0
799747,,,N Main Street and Cowan Road,,42.200504,-71.062151,866,,0,,America/New_York,,,0
799228,,,N Main Street and Division Street,,42.096349,-71.019492,863,,0,,America/New_York,,,0
799717,,,S Main Street and Woodlawn Road,,42.143684,-71.04113,866,,0,,America/New_York,,,0
799252,,,Main Street and Calmar Street,,42.066309,-71.016544,863,,0,,America/New_York,,,0
799410,,,Centre St./Edward St.,,42.087649,-70.980337,863,,0,,America/New_York,,,0
799481,,,Otto Street and Summer Street,,42.058416,-71.006725,863,,0,,America/New_York,,,0
799678,,,Winter Street and North Avenue,,42.108062,-71.007407,863,,0,,America/New_York,,,0
799853,,,Oak Street and Chatham West Drive,,42.101678,-71.050392,863,,0,,America/New_York,,,0
799826,,,N Main Street and Depot Street,,42.166917,-71.044215,866,,0,,America/New_York,,,0
799636,,,North Quincy Street and Court Street,,42.095325,-70.990045,863,,0,,America/New_York,,,0
799877,,,Belmont Street and Plaza Entrance,,42.0705269523808,-71.0454236830158,863,,0,,America/New_York,,,0
799373,,,Pleasant Street at W Acres Nursing Home,,42.087838,-71.052478,863,,0,,America/New_York,,,0
799421,,,Centre Street and Prince Street,,42.0858989104823,-70.9938837055225,863,,0,,America/New_York,,,0
799647,,,Court Street and Putnam Street,,42.086052,-71.014231,863,,0,,America/New_York,,,0
799999,,,Stone Ends (Wheeler Circle),,42.133652,-71.137966,,,0,,America/New_York,,,0
799885,,,Pearl Street. and Pleasant Street,,42.088755,-71.064291,863,,0,,America/New_York,,,0
807125,,,Sumner Street W and Leah Drive,,42.0929638244321,-71.0787684723873,863,,0,,America/New_York,,,0
799204,,,N Main Street and Wilder Street,,42.113357,-71.033729,863,,0,,America/New_York,,,0
799597,,,N Quincy Street and Armiston Street,,42.110969,-70.998365,863,,0,,America/New_York,,,0
800031,,,Stoughton Center,,42.1257710373619,-71.1022356208668,,,0,,America/New_York,,,0
799569,,,W Elm Street and Doris Avenue,,42.08029,-71.038864,863,,0,,America/New_York,,,0
800050,,,Pleasant Street at Doctors Office,,42.0890796858189,-71.0640528687172,863,,0,,America/New_York,,,0
799658,,,Ames Street and Ridge Street,,42.100627,-71.009419,863,,0,,America/New_York,,,0
799645,,,Court Street and Williams Avenue,,42.086814,-71.009027,863,,0,,America/New_York,,,0
799942,,,Battles Farm Drive at Rental Office,,42.098177,-71.029412,863,,0,,America/New_York,,,0
799558,,,Pearl Street and Calbert Road,,42.065599,-71.065346,863,,0,,America/New_York,,,0
799567,,,West Street and Neubert Street,,42.076717,-71.043611,863,,0,,America/New_York,,,0
799188,,,North Main Street and Elliot Street,,42.090809,-71.019206,863,,0,,America/New_York,,,0
799813,,,N Main Street and Soren Street,,42.198698,-71.061676,866,,0,,America/New_York,,,0
799625,,,N Quincy Street at St. Nich Church,,42.114302,-70.999352,863,,0,,America/New_York,,,0
799705,,,W Main Street and School Street,,42.119993,-71.039599,867,,0,,America/New_York,,,0
799230,,,N Main Street and W AshLand Street,,42.09373,-71.01939,863,,0,,America/New_York,,,0
799730,,,N Main Street and Park Street,,42.169426,-71.045563,866,,0,,America/New_York,,,0
799210,,,W Main Street and South Street,,42.119768,-71.039587,867,,0,,America/New_York,,,0
799327,,,Belmont Street and Grafton Street,,42.078249,-71.030725,863,,0,,America/New_York,,,0
804150,,,E Main Street and Battles Street,,42.0972261446068,-71.0188587949676,863,,0,,America/New_York,,,0
799978,,,Park Street and Leach Street,,42.12109,-71.094155,,,0,,America/New_York,,,0
799490,,,Carl Avenue and Southfield Drive,,42.0591808883988,-70.9972949705696,863,,0,,America/New_York,,,0
799795,,,Central Avenue and Columbine Road,,42.264533,-71.078279,865,,0,,America/New_York,,,0
799539,,,Pearl Street and Conant Drive,,42.064295,-71.065563,863,,0,,America/New_York,,,0
799771,,,River Street and Taylor Terrace,,42.27177,-71.072117,864,,0,,America/New_York,,,0
799921,,,N Warren Avenue and Ford Street,,42.094,-71.026539,863,,0,,America/New_York,,,0
799532,,,Torrey Street and Brewster Road,,42.073134,-71.050309,863,,0,,America/New_York,,,0
799620,,,Lisa Drive and Boundary Avenue,,42.120364,-71.002045,863,,0,,America/New_York,,,0
799466,,,Warren Avenue and Harvard Street,,42.075889,-71.021896,863,,0,,America/New_York,,,0
799953,,,Pleasant Street and W Lenox Street,,42.089539,-71.043008,863,,0,,America/New_York,,,0
799634,,,N Quincy Street and E Ashland Street,,42.09804,-70.990386,863,,0,,America/New_York,,,0
799869,,,Malvern Road and Lenox Street,,42.0876538009701,-71.042895,863,,0,,America/New_York,,,0
807106,,,Lyman Street and Centre Street,,42.0835127088384,-71.0050765128975,863,,0,,America/New_York,,,0
799916,,,N Warren Avenue and Spring Street,,42.08656,-71.023689,863,,0,,America/New_York,,,0
799509,,,Keith Avenue and Warren Avenue,,42.060451,-71.017841,863,,0,,America/New_York,,,0
799766,,,Central Avenue and Valley Road,,42.26573,-71.077169,865,,0,,America/New_York,,,0
799345,,,Plesant Street and Fields Avenue,,42.089164,-71.038657,863,,0,,America/New_York,,,0
799617,,,Howard Street at Eisenhower Estates,,42.117972,-71.017976,863,,0,,America/New_York,,,0
800017,,,Central Street opposite 1595 Central,,42.130872,-71.124496,,,0,,America/New_York,,,0
799767,,,Central Avenue and Cricket Road,,42.267299,-71.075982,865,,0,,America/New_York,,,0
799217,,,N Main Street and Manners Avenue,,42.109989,-71.03183,863,,0,,America/New_York,,,0
799998,,,Central Street at Mill Street,,42.131878,-71.134243,,,0,,America/New_York,,,0
799700,,,N Montello Street and Charles Street,,42.088673,-71.017436,863,,0,,America/New_York,,,0
799450,,,Crescent Street and Eastway Plaza,,42.0813765919194,-70.9895637116394,863,,0,,America/New_York,,,0
799850,,,MRI at Westgate,,42.09724,-71.049583,863,,0,,America/New_York,,,0
800042,,,Park Street at Park Medical Building,,42.111234,-71.072802,,,0,,America/New_York,,,0
799250,,,Main Street and Tribou Street,,42.069529,-71.017714,863,,0,,America/New_York,,,0
799607,,,Hovendon Avenue and Sprague Street,,42.110666,-71.017624,863,,0,,America/New_York,,,0
799366,,,Last Entrance on pearl Street,,42.091813,-71.06458,863,,0,,America/New_York,,,0
799574,,,Court Street and Hunt Street,,42.086291,-71.012251,863,,0,,America/New_York,,,0
799623,,,N Quincy Street and Brookfield Drive,,42.117903,-71.000243,863,,0,,America/New_York,,,0
799688,,,Colgate Road and Nicholson Road,,42.099475,-70.997877,863,,0,,America/New_York,,,0
799442,,,Crescent Street and electric Avenue,,42.080517,-70.994518,863,,0,,America/New_York,,,0
