DOW,stop_id,direction_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,stop_name,stop_desc,stop_lat,stop_lon
WD,0895529e-8620-49e2-96b7-b2bc7482193b,NA,410,1206,18,46.8235294117647,60,57.2,420,1140,15,TRUE,FALSE,N57,Avenu at Natick,,42.3010136068471,-71.379806183565
WD,08a05c14-2db4-40b3-9def-f3deaa85c216,NA,448,1033,10,65,66,65.19999999999999,420,1140,15,FALSE,FALSE,F06,Carlson Rd,,42.2729174657415,-71.3970112143166
WD,08bddd79-9213-464e-bbb5-226afb92a77a,NA,408,1214,37,22.38888888888889,60,46.5,420,1140,15,TRUE,FALSE,N38,Mathworks Lakeside,,42.302639025607,-71.3758499250322
WD,0a4cc4a9-cd68-46f2-b3ed-28b2147f14fd,NA,430.85,1205.55,12,70.42727272727272,132,85,420,1140,15,FALSE,FALSE,F58,Halstead Apartments Rear Parking,,42.2935919340606,-71.4708215874923
WD,0a959b0e-7d4c-4b4c-90b0-72ee387a9387,NA,409.28333333333336,1147.2833333333333,12,67.09090909090908,77.10000000000002,75,420,1140,15,TRUE,FALSE,F19,Vernon St & Pleasant St,,42.30080555,-71.43608808
WD,0b9f2b69-08e3-45ce-a6f4-e4c529c11701,NA,433,1127,11,69.4,74,73.10000000000001,420,1140,15,FALSE,FALSE,MF12,Milford Police and Post Office,,42.1390819334437,-71.5211747003302
WD,0c31e628-5b24-44fa-808c-f24b81e1edb3,NA,381,1180,24,34.73913043478261,94,45.60000000000001,420,1140,15,TRUE,FALSE,S3,Downtown Southborough,,42.305753070459,-71.5260227934136
WD,120ef11b-8a1f-4058-a462-450201afcde8,NA,368,1174,12,73.27272727272727,91,85,420,1140,15,TRUE,FALSE,HL4,Holliston Congregational Church,,42.2014862121037,-71.4291722434266
WD,12b6eec7-547f-45cf-becb-2846be5028a5,NA,446,1133,11,68.7,75,72.3,420,1140,15,FALSE,FALSE,MF16,Milford Shaws/Wallgreens,,42.1382209442986,-71.5346903523618
WD,1960ce3a-fc28-4f04-901e-25703c6a0f40,NA,453,1180,12,66.0909090909091,82,70,420,1140,15,FALSE,FALSE,F42,Arsenal Rd,,42.295707,-71.41065
WD,1965cd2d-df70-4cc7-aff6-589b0be9138c,NA,436.3333333333333,1127.4666666666667,11,69.11333333333334,73,72.19000000000001,420,1140,15,FALSE,FALSE,MF13,Fruit St / S. Mail St,,42.1334814806868,-71.5207710278494
WD,1b9378ff-35b5-4642-ba52-662ba5384f4a,NA,406,1133,17,45.4375,52,48.5,420,1140,15,FALSE,FALSE,F65,Arlington St/Waushakum St,,42.2712209684385,-71.4175287733989
WD,1d2d1903-683f-4059-9a2c-98ec0599e027,NA,414.26666666666665,1185.2666666666667,12,70.0909090909091,132,85,420,1140,15,TRUE,FALSE,S6,Chinese Gospel Church,,42.294497179657,-71.5047180059384
WD,1dd033e2-d1ac-413a-a0dc-2d1a6d84d450,NA,402.96666666666664,1173.9666666666667,12,70.0909090909091,132,85,420,1140,15,TRUE,FALSE,MB12,Maple St / S. Mill St,,42.3319046099129,-71.5410391414785
WD,1ec91042-4319-40bf-b4ed-62d37f2cc0e5,NA,427,1152,35,21.323529411764707,50,43,420,1140,15,FALSE,FALSE,MB13,Marlborough Hospital,,42.3537444981184,-71.5548820230294
WD,1f409f79-be89-4902-9cd6-5849c28cc1d9,NA,373,1098,17,45.3125,52,48,420,1140,15,FALSE,FALSE,F60,MCI/Adesa,MCI Adesa,42.2638757386134,-71.4077534620615
WD,1fd95a95-e63a-4fc2-ae07-5590f1e02017,NA,371.25,1194.7333333333333,22,39.21349206349206,80.5666666666666,62.816666666666606,420,1140,15,TRUE,FALSE,W2,Cedar Street,,42.3183837,-71.2484622
WD,2084f27d-e861-4134-8367-842a0e9d8645,NA,415,1205,18,46.470588235294116,86,82.6,420,1140,15,TRUE,FALSE,N15,Natick Common,,42.28378,-71.34729
WD,21609f30-afce-446f-a930-19f66a023574,NA,361,1190.1666666666667,24,36.050724637681164,63.83333333333337,59,420,1140,15,TRUE,FALSE,F59,500 Staples Dr rear Entrance,,42.2907917076821,-71.4927660818556
WD,2201cb43-0df7-4b53-a688-cfc750958ae8,NA,431,1159,22,34.666666666666664,46,40,420,1140,15,FALSE,FALSE,MF10,Milford Town Hall- Route 14,,42.1424574936901,-71.5179962824581
WD,266a135e-4851-4d05-8bcf-3b9726df2bc6,NA,337.81666666666666,1100.8166666666666,14,58.692307692307686,132,82.99999999999991,420,1140,15,FALSE,FALSE,F57,Franklin St & Proctor St,,42.2796323764105,-71.4187786828744
WD,2b621cd7-1638-4d23-896f-72c168805a0a,NA,458,1079,10,69,71,70.2,420,1140,15,FALSE,FALSE,H7,Highland Commons- Bed Bath Beyond,,42.3953106936998,-71.5967741070255
WD,2f68e90d-cb3e-4ec3-b2c4-44d403e5748e,NA,432,1197,18,45,92,90,420,1140,15,FALSE,FALSE,N20,9/27 Shopping Plaza,,42.301094,-71.359134
WD,323865ce-1587-4c30-949f-d5682d4d32b4,NA,446,1086,20,33.68421052631579,51,51,420,1140,15,FALSE,FALSE,H4,Hudson Senior Center,,42.3932386871122,-71.5667749385104
WD,3603c005-0250-4761-b1dc-ecafe6315f58,NA,425,1170,23,33.86363636363637,74,64.60000000000001,420,1140,15,FALSE,FALSE,F82,Framingham High School,,42.3192003261566,-71.4002124309666
WD,370b8338-7732-415a-accd-cc370c5bcbf0,NA,378,1103,17,45.3125,52,48,420,1140,15,FALSE,FALSE,F51,Beaver St & Second St,,42.274105,-71.402115
WD,39f836a1-5c3d-434d-80fc-f3131b7c13c0,NA,418,1179,23,34.59090909090909,65,63.7,420,1140,15,TRUE,FALSE,F85,Edmans House,,42.3296850818208,-71.4374870918684
WD,3aafcbf7-e332-4b5b-b805-6a5a422ca195,NA,458,1155,8,99.57142857142857,107,105.2,420,1140,15,FALSE,FALSE,MB2,Lincoln St & Pleasant St,,42.345905,-71.559561
WD,3b5930ba-f70e-4f74-a74d-a14da1918e43,NA,397,1226,28,30.703703703703702,76,59.2,420,1140,15,TRUE,FALSE,N27,Roche Bros.,,42.282056,-71.376886
WD,3ef7ac24-c8f0-4b6b-a81c-913ae133d342,NA,457,1177,13,60,61,60.9,420,1140,15,FALSE,FALSE,F73,Concord St/ Anzio Rd,,42.2930917020495,-71.4091803973425
WD,40ca3b9f-9c89-4c79-84ed-69ea15a8a6b5,NA,487,1197,11,71,82,78.4,420,1140,15,FALSE,FALSE,HL1,Holliston Public Library,,42.2007056892339,-71.4293707269055
WD,4175c54c-36a6-47cc-8f1b-f39575347fd7,NA,479,1185,16,47.06666666666667,102,99.4,420,1140,15,FALSE,FALSE,MB5,Solomon Pond Mall,,42.35511,-71.61249
WD,422bef0c-2874-476a-9ecc-b34ee8993142,NA,1095,1095,1,NA,-Inf,NA,420,1140,15,FALSE,NA,N52,Kendall Plaza,,42.2825881709211,-71.3922248120442
WD,444c6537-938f-4597-ab80-3e067bf0b865,NA,401,1203,56,14.581818181818182,42,36.6,420,1140,15,TRUE,TRUE,A4,Shaws Supermarket,,42.2407765532003,-71.4325330515226
WD,45bcc3cf-e80e-4180-92de-3b5581d86719,NA,463,1147,11,68.4,80,78.2,420,1140,15,FALSE,FALSE,MF22,Birmingham Court,,42.1511988133907,-71.5186735402747
WD,486fdfee-0b1e-415b-84e6-1f59068f0ffd,NA,401,1174,34,23.424242424242426,56,49.20000000000001,420,1140,15,TRUE,FALSE,F43,Walmart,,42.300242,-71.400487
WD,488be29e-7723-4630-bdd5-aee6cf1d4e34,NA,371,1222,33,26.59375,60,53.900000000000006,420,1140,15,TRUE,FALSE,F08,Rt 9 East Park & Ride,,42.2964055714849,-71.4836331596156
WD,48a17140-5009-49fc-96f7-75b0e626891c,NA,374.23333333333335,1187.2333333333333,28,30.11111111111111,82.00000000000011,74.99999999999997,420,1140,15,TRUE,FALSE,F40,Flutie Pass Park and Ride,,42.3007212460471,-71.3909051651302
WD,494a35b9-3c27-46f6-8ded-e8043880a2e0,NA,378,1191,13,67.75,78,74.60000000000001,420,1140,15,TRUE,FALSE,A5,Cirrus Apartments,,42.2562663111845,-71.4783304320771
WD,496776cd-d98a-4704-985c-7f39e018aa3f,NA,537,1133,14,45.84615384615385,106,99.8,420,1140,15,FALSE,FALSE,MB17,Wayside Inn Store/ Hager St,,42.3516376228117,-71.4875853948346
WD,4abd44aa-df5f-4d82-a1bd-f5b3b82b9a6d,NA,373.03333333333336,1192.9666666666667,22,39.044444444444444,84.54999999999995,68.58333333333326,420,1140,15,TRUE,FALSE,PING1,Wellesley Office Park,,42.3270337180515,-71.2531321497638
WD,4c2e7f99-08ae-4d04-b1d1-8ee2f68866ad,NA,454,990,5,134,418,304.6000000000001,420,1140,15,FALSE,FALSE,N33,Kansas St & Route 27,,42.29151,-71.3564
WD,4c62b8c3-5378-4ef4-9706-87e30e2c1708,NA,374.3666666666667,1185.4833333333333,11,81.11166666666666,93.7166666666667,84.8216666666667,420,1140,15,TRUE,FALSE,W4,Newton-Wellesley Hospital,,42.3324356873295,-71.2464091924673
WD,4ef1e39b-96d3-402b-8f82-bcda377125be,NA,432,1126,11,69.4,74,73.10000000000001,420,1140,15,FALSE,FALSE,MF11,Milford Senior Center,,42.1408454859761,-71.5154817113567
WD,50f02614-d7ed-4faa-b21f-27c8d21dab28,NA,395,1203,30,27.862068965517242,53,46.4,420,1140,15,TRUE,FALSE,MB9,Broad St / Lincoln St,,42.343861898414,-71.5629380382858
WD,517a9cbd-8ef2-4b39-ae46-f018cb8a8bc6,NA,428.43333333333334,1120.9666666666667,11,69.25333333333333,73.5333333333333,73.05333333333323,420,1140,15,FALSE,FALSE,MF8,Maher Court,,42.1475630788543,-71.5117319829304
WD,58f9b39e-73ae-48fb-9178-5c69de45b399,NA,443,1131,22,32.76190476190476,74,71,420,1140,15,FALSE,FALSE,MF15,Milford Regional Medical Center,,42.1326982756077,-71.5288431363608
WD,5b5eba65-15c5-4fef-b902-1e297ba4d8e0,NA,445,1176,25,30.458333333333332,60,53.8,420,1140,15,FALSE,FALSE,F26,Kohls,,42.302967596231,-71.3972029922726
WD,5bc0337e-0145-41d3-b825-4285af3fbda0,NA,418,1167,23,34.04545454545455,65,61.900000000000006,420,1140,15,TRUE,FALSE,F22,Super Stop and Shop,,42.30596451,-71.40172177
WD,5e463b38-2425-4526-a4ab-a4e8f745a4ad,NA,367,1168,59,13.810344827586206,73,30,420,1140,15,TRUE,TRUE,W18,MassBay Community College,,42.311931539293,-71.2629611052848
WD,5ec0f6f9-8492-4516-bb0e-cbc6b5313d1c,NA,450,1170,13,60,60,60,420,1140,15,FALSE,FALSE,F67,BJs Wholesale Club ,,42.3069573823784,-71.399089926427
