DOW,stop_id,direction_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon
SA,807850,NA,530,1025,5,123.75,135,130.5,480,1110,20,FALSE,FALSE,,,Cedar St Apartments,,42.555683,-70.871121
SA,807851,NA,505,1002,5,124.25,137,132.26111011402674,480,1110,20,FALSE,FALSE,,,Council on Aging,,42.56101129,-70.87408304
SA,807854,NA,511.1955283124561,919.9966205839736,8,58.40015603878822,85.15766282433697,85.15766282433682,480,1110,20,FALSE,FALSE,,,Cummings Center,,42.5574642068768,-70.8869071908568
SA,807855,NA,545,935,5,97.5,120,120,480,1110,20,FALSE,FALSE,,,Stop & Shop,,42.554993,-70.885912
SA,807857,NA,490,990,5,125,140,134,480,1110,20,FALSE,FALSE,,,Garden City Apartments,,42.559606,-70.881037
SA,807864,NA,515,1007,5,123,132,128.4,480,1110,20,FALSE,FALSE,,,North Beverly Plaza - Shaw's,,42.57686742,-70.88870172
SA,815374,NA,541,1018,5,119.25,120,120,480,1110,20,FALSE,FALSE,,,Good Harbor Beach,,42.6226402,-70.63188649
WD,2597088,NA,403,977.7630433978156,6,114.95260867956313,149.83227436070342,137.89936461642205,420,1140,15,FALSE,FALSE,,,Bridge St & Livingstone Ave,,42.5502052020573,-70.8938051641689
WD,2597090,NA,600.5415648252406,600.5415648252406,1,NA,-Inf,NA,420,1140,15,FALSE,NA,,,Cabot St - Ellis Square YMCA,,42.5492161369004,-70.8779843430412
WD,2597091,NA,528.6069613728149,1020,5,122.84825965679627,133,129.1,420,1140,15,FALSE,FALSE,,,Montserrat Station,,42.5618946873959,-70.8689542157384
WD,3460636,NA,498.1756652975744,998.1756652975745,5,125.00000000000001,140,134.00000000000003,420,1140,15,FALSE,FALSE,,,NorthShore Education Consortium,,42.569392304805604,-70.8788595457585
WD,3460638,NA,500,1000,5,125,140,134,420,1140,15,FALSE,FALSE,,,Whole Foods Shopping,,42.5730988511098,-70.879196262258
