DOW,stop_id,direction_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon
SA,814819,NA,540.3833333333333,1080.3833333333334,7,90.00000000000001,90.00000000000011,90.00000000000006,480,1110,20,FALSE,FALSE,467,,80 Littleton,,42.5949862688177,-71.359203697272
SA,814820,NA,487.5833333333333,1027.5833333333333,10,59.99999999999999,60.00000000000006,60.000000000000014,480,1110,20,FALSE,FALSE,468,,Chelmsford St & Albert St,,42.6181838015433,-71.3248605754047
SA,814821,NA,522.2833333333333,1062.2833333333333,10,60,60,60,480,1110,20,FALSE,FALSE,469,,Stevens St & Albert St,,42.618109,-71.326551
SA,814822,NA,483.8333333333333,1023.8333333333334,10,60.00000000000001,60.00000000000006,60.000000000000014,480,1110,20,FALSE,FALSE,470,,Boston Rd & Pinedale Ave,,42.526946,-71.225876
SA,814823,NA,520.95,1060.95,10,60,60,60,480,1110,20,FALSE,FALSE,471,,Gorham St & Riverneck Rd,,42.612353,-71.302489
SA,814824,NA,528.8333333333334,1068.8333333333333,10,59.999999999999986,60,60,480,1110,20,FALSE,FALSE,472,,Steadman & Bowl Rd,,42.616451,-71.345685
SA,814825,NA,493.6166666666667,1093.6166666666666,11,59.999999999999986,60,60,480,1110,20,FALSE,FALSE,473,,Andover St & Remington St,,42.6459427876155,-71.2754428079868
SA,814826,NA,455.3333333333333,995.3333333333334,10,60.00000000000001,60.00000000000006,60.000000000000014,480,1110,20,FALSE,FALSE,474,,83 Gorham,,42.6082015699672,-71.3012638964793
SA,814827,NA,493.78333333333336,1033.7833333333333,10,59.99999999999999,60,60,480,1110,20,FALSE,FALSE,475,,Boston Rd & Cardington Ave,,42.531124,-71.229068
SA,814828,NA,556.85,1107.35,17,34.40624999999999,60,60,480,1110,20,FALSE,FALSE,476,,84 Brick Kiln,,42.5960984182642,-71.3051188878312
SA,814829,NA,487.75,1027.75,10,60,60,60,480,1110,20,FALSE,FALSE,477,,Chelmsford St & Stevens St,,42.61703,-71.325439
SA,814830,NA,488.6166666666667,1088.6166666666666,11,59.999999999999986,60,60,480,1110,20,FALSE,FALSE,478,,Princeton St & Corey St,,42.6336096542835,-71.3621063859916
SA,814831,NA,502.25,1102.25,11,60,60,60,480,1110,20,FALSE,FALSE,479,,Andover St & Holbrook Ave,,42.6462868650552,-71.2743591597088
SA,814832,NA,496.01666666666665,1036.0166666666667,10,60,60,60,480,1110,20,FALSE,FALSE,480,,Princeton St & Corey St,,42.6334973078911,-71.3621501588234
SA,814833,NA,484.85,1084.85,11,59.999999999999986,60,60,480,1110,20,FALSE,FALSE,481,,Main St & Old Boston Rd,,42.6144268942752,-71.239754301472
SA,814834,NA,575.6166666666667,1115.6166666666666,10,59.999999999999986,60,60,480,1110,20,FALSE,FALSE,482,,Greenmont Ave & Vermont Ave,,42.6710629041235,-71.308594278149
SA,814835,NA,474.53333333333336,1074.5333333333333,11,59.99999999999999,60,60,480,1110,20,FALSE,FALSE,483,,Livingston St & Ironwood Ln,,42.5919526222083,-71.206210865502
SA,814836,NA,544.4833333333333,1084.4833333333333,10,60,60,60,480,1110,20,FALSE,FALSE,484,,850 Chelmsford,,42.617376,-71.32508
SA,814837,NA,440.93333333333334,1040.9333333333334,11,60.00000000000001,60.000000000000114,60.000000000000014,480,1110,20,FALSE,FALSE,485,,Main St & Old Boston Rd,,42.614335679921,-71.2399526843863
SA,814838,NA,486.15,1091.15,11,60.500000000000014,63,62.1000000000001,480,1110,20,FALSE,FALSE,486,,Varnum Ave & Totman Rd,,42.645101992057,-71.3608771209072
SA,814839,NA,491.53333333333336,1031.5333333333333,10,59.99999999999999,60,60,480,1110,20,FALSE,FALSE,487,,Lakeview Ave & W 6th St,,42.659522,-71.315279
SA,814840,NA,496.8833333333333,1036.8833333333334,10,60.000000000000014,60.000000000000114,60.00000000000002,480,1110,20,FALSE,FALSE,488,,86 Chelmsford Street,,42.601414,-71.347363
SA,814841,NA,519.8,1059.8,10,60,60,60,480,1110,20,FALSE,FALSE,489,,86 Gorham,,42.6079380581225,-71.3010334951366
SA,814842,NA,489.2,1099.2,11,61.00000000000001,70,61.00000000000004,480,1110,20,FALSE,FALSE,490,,Westford St & Mariposa Ave,,42.630884398239,-71.3469345763388
SA,814843,NA,466.3666666666667,1076.3666666666666,31,20.33333333333333,55.34999999999991,45.35000000000002,480,1110,20,FALSE,FALSE,491,,Hale St & YMCA Dr,,42.6344148797399,-71.3142235975532
SA,814844,NA,561.4333333333333,1109.45,17,34.25104166666667,60,60,480,1110,20,FALSE,FALSE,492,,Carlisle St & Biltmore Ave,,42.605829,-71.301288
SA,814845,NA,492.8333333333333,1032.8333333333333,10,59.99999999999999,60.00000000000006,60.000000000000014,480,1110,20,FALSE,FALSE,493,,Boston Rd & Pinedale Ave,,42.5273015562281,-71.2258471624741
SA,814846,NA,555.25,1106.45,17,34.45,60,60,480,1110,20,FALSE,FALSE,494,,9 Brick Kiln Rd,,42.5899200197021,-71.3062381849271
SA,814847,NA,456.93333333333334,1146.9333333333334,46,15.333333333333334,30,17.16666666666663,480,1110,20,TRUE,TRUE,495,,Middlesex St & Moulton Ave,,42.6418423890436,-71.3089303087365
SA,814849,NA,490,1107,24,26.82608695652174,66,49,480,1110,20,FALSE,FALSE,497,,UPS (90 Brick Kiln Rd),,42.594107,-71.30519
SA,814850,NA,492.26666666666665,1032.2666666666667,10,60,60,60,480,1110,20,FALSE,FALSE,498,,Boston Rd & Callahan St,,42.5256180115209,-71.2233406462594
SA,814851,NA,544,1084,10,60,60,60,480,1110,20,FALSE,FALSE,499,,Cross Point Tower,,42.6144972958967,-71.326999632846
SA,814852,NA,553.15,1093.15,10,60.000000000000014,60.000000000000114,60.00000000000002,480,1110,20,FALSE,FALSE,500,,Middlesex Tpk & Suburban Park Dr,,42.5269364879735,-71.2557355280053
SA,814855,NA,489,1099,11,61,70,61,480,1110,20,FALSE,FALSE,503,,Westford St & Steadman St,,42.6302560532089,-71.348321831611
