DOW,stop_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,stop_name,stop_desc,platform_code,stop_lat,stop_lon
WD,2706,281,1543,129,9.859375,50,20,420,1140,15,TRUE,TRUE,2706,Broadway @ Marshall St,,,42.392158,-71.092807
WD,2707,281,1544,129,9.8671875,50,20,420,1140,15,TRUE,TRUE,2707,Broadway @ Montgomery Ave,,,42.390497,-71.090264
WD,2709,282,1544,129,9.859375,50,20.299999999999997,420,1140,15,TRUE,TRUE,2709,Broadway St @ MacArthur St,,,42.389316,-71.087677
WD,27092,250,1522,232,5.5064935064935066,72,9,420,1140,15,TRUE,TRUE,27092,Terminal B Stop 1 - Arrivals Level,Terminal B Stop 1 - Silver Line - SL1 South Station,,42.3621,-71.01882
WD,2710,283,1545,129,9.859375,50,20.299999999999997,420,1140,15,TRUE,TRUE,2710,Broadway @ Cross St,,,42.388616,-71.086108
WD,2711,283,1545,150,8.46979865771812,50,19,420,1140,15,TRUE,TRUE,2711,Broadway @ Glen St,,,42.387798,-71.084329
WD,2712,284,1546,150,8.46979865771812,50,19,420,1140,15,TRUE,TRUE,2712,Broadway @ Franklin St,,,42.387063,-71.082176
WD,2713,284,1546,150,8.46979865771812,50,19,420,1140,15,TRUE,TRUE,2713,Broadway @ Lincoln St,,,42.386632,-71.080639
WD,2714,285,1546,213,5.94811320754717,40,12,420,1140,15,TRUE,TRUE,2714,Broadway @ Mt Vernon St,,,42.386049,-71.078666
WD,2715,299,1538,121,10.325,30,16,420,1140,15,TRUE,TRUE,2715,Broadway @ Belknap St,,,42.405242,-71.130298
WD,2718,288,1522,146,8.510344827586207,49,15.599999999999994,420,1140,15,TRUE,TRUE,2718,Broadway @ Austin St,,,42.38686,-71.080685
WD,2719,288,1522,146,8.510344827586207,49,15.599999999999994,420,1140,15,TRUE,TRUE,2719,Broadway @ Indiana Ave,,,42.387399,-71.0825
WD,2720,288,1522,146,8.510344827586207,48,15.599999999999994,420,1140,15,TRUE,TRUE,2720,Broadway @ Michigan Ave,,,42.388006,-71.084232
WD,2721,289,1523,124,10.032520325203253,49,18.599999999999994,420,1140,15,TRUE,TRUE,2721,Broadway @ Cross St,,,42.388711,-71.085778
WD,2722,289,1523,124,10.032520325203253,48,18.599999999999994,420,1140,15,TRUE,TRUE,2722,Broadway @ Kensington Ave,,,42.389404999999996,-71.08728
WD,2723,290,1524,124,10.032520325203253,48,18.599999999999994,420,1140,15,TRUE,TRUE,2723,Broadway @ Fellsway W,,,42.390738,-71.090085
WD,2725,291,1524,124,10.024390243902438,47,18.599999999999994,420,1140,15,TRUE,TRUE,2725,Broadway @ Temple St,,,42.392521,-71.092975
WD,2726,291,1525,124,10.032520325203253,48,18.599999999999994,420,1140,15,TRUE,TRUE,2726,Broadway @ Winter Hill Plaza,,,42.393489,-71.094823
