"stop_id","stop_lat","stop_lon"
"1090",42.33833,-71.153702
"1092",42.336386,-71.151428
"10923",42.274133,-71.109187
"10928",42.352614,-71.132097
"1094",42.352511,-71.163102
"109802",42.383937,-70.999451
"109804",42.38233,-70.991479
"109805",42.382135,-70.98896
"109807",42.379617,-70.985872
"109809",42.375909,-70.987693
"109810",42.374436,-70.991198
"109811",42.37318,-70.989766
"109812",42.372904,-70.987328
"109814",42.372595,-70.984668
"109815",42.372389,-70.98292
"109816",42.372198,-70.981132
"109817",42.372168,-70.978521
"109818",42.372021,-70.976842
"109819",42.3719,-70.974424
"109820",42.372456,-70.97191
"109821",42.372701,-70.971585
"109822",42.374284,-70.972804
"109823",42.375878,-70.97402
"109824",42.377434,-70.974987
"109825",42.378929,-70.975801
"109826",42.381135,-70.975503
"109827",42.382563,-70.973827
"109828",42.384521,-70.973152
"109829",42.386455,-70.975745
"109830",42.384736,-70.978052
"109831",42.38248,-70.980365
"109832",42.38167,-70.98227
"109834",42.382016,-70.986486
"109835",42.382255,-70.988942
"109836",42.38247,-70.991716
"109838",42.383963,-70.999159
"109841",42.370713,-70.970441
"109842",42.369467,-70.971284
"109844",42.36538,-70.96932
"109845",42.363754,-70.970139
"109846",42.36303,-70.97039
"109848",42.360982,-70.970887
"109849",42.358897,-70.970587
"109853",42.35569,-70.967704
"109857",42.359196,-70.970574
"109858",42.360776,-70.970795
"109860",42.362996,-70.970216
"109861",42.363542,-70.970071
"109862",42.365243,-70.96921
"109864",42.369295,-70.971194
"109865",42.370549,-70.970361
"109868",42.381889,-70.98615
"109870",42.381544,-70.982478
"109871",42.382314,-70.980466
"109872",42.384712,-70.977889
"109873",42.386405,-70.975838
"109874",42.384428,-70.973253
"109875",42.382589,-70.973709
"109877",42.379054,-70.975001
"109878",42.377526,-70.974688
"109879",42.376141,-70.973918
"109880",42.374554,-70.972555
"109883",42.372069,-70.97424
"109884",42.372114,-70.976577
"109885",42.37228,-70.978265
"109886",42.372303,-70.980875
"109887",42.372479,-70.982654
"109888",42.372686,-70.984401
"109890",42.372995,-70.987061
"109891",42.373301,-70.989729
"109892",42.37431,-70.991123
"109893",42.375811,-70.987603
"109894",42.378202,-70.985457
"109895",42.379628,-70.985699
"109898",42.372758,-70.971283
"109899",42.385674,-70.976635
"109900",42.385582,-70.976529
"109901",42.380764,-70.974996
"109905",42.376865,-70.984489
"109912",42.360232,-70.971021
"109915",42.377011,-70.984515
"11",42.334763,-71.084459
"110",42.373259,-71.118124
"1100",42.355618,-71.16246
"1102",42.358297,-71.157999
"1103",42.357577,-71.154024
"1104",42.357,-71.152801
"1105",42.356155,-71.149465
"11070",42.357031,-71.145976
"11071",42.355385,-71.142171
"1109",42.354115,-71.14151
"111",42.317184,-71.040238
"1110",42.353583,-71.138173
"1111",42.353931,-71.136365
"111146",42.303676,-70.919766
"111152",42.303427,-70.913293
"111159",42.302958,-70.902498
"111179",42.298619,-70.882178
"111196",42.287379,-70.876717
"1112",42.355251,-71.133266
"111206",42.279455,-70.869833
"111214",42.27314,-70.86018
"111217",42.270704,-70.856877
"111232",42.265539,-70.846749
"111234",42.264411,-70.84597
"111236",42.261535,-70.845016
"111248",42.247716,-70.876317
"111251",42.245686,-70.882913
"111258",42.245593,-70.882668
"1113",42.355943,-71.131448
"11131",42.318993,-71.111932
"1114",42.357758,-71.126505
"11148",42.331221,-71.090588
"11149",42.330732,-71.08842
"1115",42.358658,-71.123967
"11158",42.338393,-71.070917
"1116",42.360621,-71.118743
"11164",42.311466,-71.1145
"111640",42.13982,-71.148314
"111642",42.144333,-71.149085
"111648",42.150599,-71.149245
"111653",42.154215,-71.145689
"111656",42.156617,-71.145462
"111660",42.158794,-71.144918
"111672",42.172307,-71.139199
"111685",42.185813,-71.121815
"111711",42.250044,-71.102039
"111720",42.256091,-71.098968
"111729",42.262627,-71.095503
"111738",42.262866,-71.095677
"111747",42.255922,-71.099238
"111762",42.239391,-71.108505
"111775",42.197154,-71.119299
"111787",42.176598,-71.13143
"111791",42.172526,-71.139085
"111796",42.165614,-71.142813
"111801",42.159019,-71.145006
"111803",42.156685,-71.145661
"111806",42.154326,-71.145862
"111810",42.150784,-71.149384
"111815",42.14423,-71.149281
"111823",42.255329,-70.851812
"111828",42.264125,-70.845936
"111830",42.265653,-70.84662
"111844",42.270665,-70.856588
"111848",42.274431,-70.860687
"111855",42.279496,-70.869545
"111864",42.287264,-70.876468
"11187",42.314537,-71.099631
"111881",42.29848,-70.881953
"111895",42.308765,-70.889696
"111907",42.303557,-70.913072
"11219",42.348062,-71.050338
"11228",42.337782,-71.083038
"1123",42.364935,-71.104405
"11241",42.329919,-71.061783
"11242",42.327145,-71.061951
"11244",42.326102,-71.062666
"11257",42.331197,-71.092692
"11259",42.329483,-71.086203
"1128",42.308588,-71.115487
"1129",42.312198,-71.114144
"1130",42.314462,-71.114046
"11302",42.348388,-71.129539
"11319",42.343047,-71.055038
"1132",42.316493,-71.11366
"11323",42.330801,-71.089207
"1134",42.321048,-71.110438
"1135",42.322164,-71.10904
"1136",42.3225,-71.106772
"11366",42.332409,-71.116433
"1137",42.322684,-71.104662
"1138",42.322886,-71.102796
"11384",42.347346,-71.075956
"11388",42.345344,-71.082045
"11389",42.345355,-71.081535
"11390",42.347779,-71.085476
"11391",42.347386,-71.087495
"1140",42.324791,-71.097571
"11408",42.372801,-71.094184
"1141",42.326102,-71.096534
"11410",42.371928,-71.087532
"11413",42.313455,-71.095355
"11419",42.346677,-71.051426
"1142",42.327778,-71.095518
"1144",42.329657,-71.093032
