stop_id,passing_values,frequent_stop,stop_code,stop_name,stop_desc,stop_lat,stop_lon
983e3f34-0d83-4101-b4b5-a0ca7a043817,1,FALSE,HP3,Hopkinton Center,,42.22826314,-71.52213335
984664f1-2572-4ee0-a83c-4d3726e53cb7,0,FALSE,H9,Hudson Housing Authority,,42.3843324115474,-71.5732873423867
9e7ed194-bd09-401e-9080-631f5fb9e4fa,0,FALSE,N44,Moran Park/Downtown MBTA,,42.2854500881106,-71.3477564661358
a3640a4a-c010-4521-bc02-b37f2d886148,1,FALSE,N28,Cedar Gardens,,42.273838804593,-71.3553591880416
a3b507bc-cafe-4071-958c-dec4706d2474,1,FALSE,F29,Rose Kennedy Lane,,42.29052416,-71.41346032
a47b8279-0bb0-4ade-9d53-0599d86376f4,0,FALSE,N50,Mall Rd/ Flutie Pass,,42.301664042572,-71.3878233067884
a8f64f01-0325-4fb4-bf93-aef4366af89f,1,FALSE,F84,Callahan Center,,42.2936013217927,-71.4277251915768
a9cb54ef-5213-4abd-8314-1c47ee85a2a5,2,FALSE,F02,Framingham MBTA Station,,42.27655464,-71.41777396
a9f61865-59af-41f8-95c8-547fa186ddb8,0,FALSE,F20,Nobscot Fire Station,,42.329557676885,-71.4322527606638
afec89f0-6720-473e-b019-2fb711b2003b,1,FALSE,MB8,Academy Knoll Apartments,,42.3419776464687,-71.5604797935772
b03a9fbb-fdfa-4ab5-9402-991021410042,1,FALSE,F16,Framingham Center,,42.3005,-71.43454
b6082ce2-98f7-4a0a-a732-b515d167c4f8,0,FALSE,MB21,Target Marlborough,,42.3481158821652,-71.5046254697219
b6ba290f-922e-4480-b04f-445cbfc8ac13,0,FALSE,MB15,Farm Road & Route 20,,42.3478624133982,-71.5082558398399
b72833df-ee2d-46a5-8aa5-ccf9ec6143dd,1,FALSE,A2,Ashland High School,,42.25058,-71.472433
b733ee7a-78ab-4474-b453-439df425e3fd,0,FALSE,N17,Senior Center,,42.286106,-71.337616
b80dcf9b-8f7b-4b28-a288-01fbb3c2fc15,1,FALSE,F05,Concord St & Howard St/Downtown Common,,42.27765,-71.416779
b9d83aa7-3d4f-43bb-886f-447d8d31b7df,1,FALSE,F81,St Patricks Manor,,42.3084795360851,-71.4299581307148
bca44d7c-4431-4e9a-9156-5ae55ee413e4,1,FALSE,F25,Shoppers World Shelter,,42.2998057,-71.39492154
bcc8eb6a-50a5-417d-b8db-117bc3f74984,1,FALSE,S2,White Bagley Rd & Boston Rd,,42.30447551,-71.51614666
c0edc72a-7821-492a-a60a-a95bff165e98,0,FALSE,W19,Weston Rd,,42.3053359869323,-71.3126624412931
c48fffe4-1842-4c6e-8999-7196473af1ae,0,FALSE,F70,Union Ave/ Lincoln St.,,42.2851014009178,-71.421620483495
cb816f41-d2a5-4e37-80a2-67be7895cfaa,1,FALSE,MB7,Main St,,42.347161015699,-71.5464598862207
cd2f74e2-1bef-480b-8aee-6378137d7e1d,1,FALSE,A1,Homer Ave & Main St,,42.259513,-71.463991
ce76635d-25b6-4a57-be84-d8d752274e48,3,FALSE,BH,Blandin Hub,15 Blandin Ave Hub,42.2758746013567,-71.411843831053
d05e1ba2-243c-487a-a043-fafbe84749ac,1,FALSE,F34,High St,,42.300134,-71.435702
d380719e-09d7-4b21-9ec6-852e339ce2ce,1,FALSE,N16,Leonard Morse Hospital,,42.2803552317831,-71.3340731760307
d40a3f8f-2d7f-4be2-9a4c-97c773cdf682,0,FALSE,MF24,Milford Kohls,,42.1478581218635,-71.4893905216092
