"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","platform_code","stop_name","stop_desc","geometry"
"85","SA","807851",NA,505,1002,5,124.25,132.261110114027,124.691947261992,480,1110,20,FALSE,FALSE,"","","Council on Aging","",c(251398.438789973, 923572.392517658)
"86","SA","807854",NA,511.195528312456,919.996620583974,8,58.4001560387882,85.1576628243368,67.9523492592359,480,1110,20,FALSE,FALSE,"","","Cummings Center","",c(250348.208107401, 923170.735702581)
"87","SA","807855",NA,545,935,5,97.5,120,113.076923076923,480,1110,20,FALSE,FALSE,"","","Stop & Shop","",c(250431.909732394, 922896.823403619)
"88","SA","807857",NA,490,990,5,125,134,125.6,480,1110,20,FALSE,FALSE,"","","Garden City Apartments","",c(250828.543135446, 923412.126508321)
"89","SA","807864",NA,515,1007,5,123,128.4,123.219512195122,480,1110,20,FALSE,FALSE,"","","North Beverly Plaza - Shaw's","",c(250185.394023666, 925324.982776203)
"90","SA","815374",NA,541,1018,5,119.25,120,119.264150943396,480,1110,20,FALSE,FALSE,"","","Good Harbor Beach","",c(271216.633538671, 930592.170053234)
"91","WD","2597088",NA,403,977.763043397816,6,114.952608679563,137.899364616422,121.555684573643,420,1140,20,FALSE,FALSE,"","","Bridge St & Livingstone Ave","",c(249787.475197983, 922360.360904559)
"92","WD","2597090",NA,600.541564825241,600.541564825241,1,NA,NA,NA,420,1140,20,FALSE,NA,"","","Cabot St - Ellis Square YMCA","",c(251087.635785417, 922259.851554348)
"93","WD","2597091",NA,528.606961372815,1020,5,122.848259656796,129.1,123.131397555844,420,1140,20,FALSE,FALSE,"","","Montserrat Station","",c(251818.868939762, 923673.623021494)
"94","WD","2729983",NA,424,424,1,NA,NA,NA,420,1140,20,FALSE,NA,"","","650 Washington St","",c(267764.498407681, 933386.468538732)
"95","WD","2729984",NA,875,875,1,NA,NA,NA,420,1140,20,FALSE,NA,"","","Washington St & Munsey Ln","",c(269206.241621108, 936750.97992388)
"96","WD","2729985",NA,863,863,1,NA,NA,NA,420,1140,20,FALSE,NA,"","","Flanagan Square","",c(269233.150938536, 929751.262659377)
"97","WD","2729986",NA,860,860,1,NA,NA,NA,420,1140,20,FALSE,NA,"","","Rogers St - Dunkin' Donuts","",c(269026.645669079, 929559.817987358)
"98","WD","2729987",NA,882,882,1,NA,NA,NA,420,1140,20,FALSE,NA,"","","South & Frank St","",c(272890.793761501, 931994.286818949)
"99","WD","2729988",NA,434,434,1,NA,NA,NA,420,1140,20,FALSE,NA,"","","Ravenswood Park","",c(265754.299347082, 927060.407318102)
"100","WD","2729989",NA,421,858,2,437,437,437,420,1140,20,FALSE,FALSE,"","","Western Ave & Stage Fort Park","",c(267443.62678628, 928993.885151525)
"101","WD","2729990",NA,856.541006522318,856.541006522318,1,NA,NA,NA,420,1140,20,FALSE,NA,"","","Western Ave & Centennial Ave","",c(267873.176093816, 929168.41571141)
