"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","platform_code","stop_name","stop_desc","geometry"
"52","SA","814374",NA,535,1075,7,90,90,90,480,1110,20,FALSE,FALSE,"12","","Nashoba Tech","",c(207409.838327067, 924588.003587898)
"53","SA","814375",NA,469.7,1069.7,11,60,60,60,480,1110,20,FALSE,FALSE,"13","","Tyngsboro Rd & Wellman Ave","",c(208921.479194325, 932647.614796576)
"54","SA","814376",NA,507,1047,7,90,90,90,480,1110,20,FALSE,FALSE,"14","","Nashoba Tech","",c(207289.040747938, 924548.825034763)
"55","SA","814378",NA,524.983333333333,1064.98333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"16","","Gorham St & Lincoln St","",c(215761.035495859, 930806.731807607)
"56","SA","814379",NA,452.066666666667,1021.63333333333,17,35.5979166666667,60,48.6693529193734,480,1110,20,FALSE,FALSE,"17","","Gorham St & London St","",c(215760.987564037, 930766.401191431)
"57","SA","814380",NA,539.483333333333,1079.48333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"18","","Chelmsford St & Independence Dr","",c(212663.378240976, 928088.319133224)
"58","SA","814381",NA,498.266666666667,1061.86666666667,20,29.6631578947368,36.4,31.0401703335699,480,1110,20,FALSE,FALSE,"19","","Bridge St & 18th St","",c(216118.043205005, 934525.864712564)
"59","SA","814382",NA,531.116666666667,1071.11666666667,10,60,60,60,480,1110,20,FALSE,FALSE,"20","","Dalton Rd & Field St","",c(212223.154843265, 928558.704850148)
"60","SA","814383",NA,452.283333333333,1021.8,17,35.5947916666667,60,48.6377986206627,480,1110,20,FALSE,FALSE,"21","","Gorham St & Manchester St","",c(215802.660967896, 930630.933056387)
"61","SA","814384",NA,524.55,1064.55,10,60,60,60,480,1110,20,FALSE,FALSE,"22","","Gorham St & Manchester St","",c(215818.991773099, 930628.192836571)
"62","SA","814385",NA,490.183333333333,1030.18333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"23","","Lawrence St & Billerica St","",c(216873.950555446, 930561.01713252)
"63","SA","814386",NA,525.583333333333,1065.58333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"24","","109 Arlington","",c(216517.457894505, 935573.142216295)
"64","SA","814387",NA,470.883333333333,1040.4,20,29.9745614035088,30.4833333333333,29.9823334601465,480,1110,20,FALSE,FALSE,"26","","Concord Rd & Blanchard Ave","",c(218930.572501483, 923170.623315736)
"65","SA","814389",NA,480.733333333333,1080.73333333333,11,60,60,60,480,1110,20,FALSE,FALSE,"28","","11 Technology","",c(211272.706008685, 930777.24853092)
"66","SA","814390",NA,566.916666666667,1106.91666666667,7,90,90.0000000000001,90,480,1110,20,FALSE,FALSE,"29","","Gorham St & Blossom St","",c(215794.812469549, 930691.789842831)
"67","SA","814391",NA,469.75,1079.75,11,61,61,61.1475409836066,480,1110,20,FALSE,FALSE,"30","","Westford St & Gates St","",c(214754.686278014, 931825.74156733)
"68","SA","814394",NA,524.033333333333,1106.28333333333,17,36.390625,60,44.956311721769,480,1110,20,FALSE,FALSE,"33","","1158 Gorham","",c(215884.377523599, 930409.059516533)
"69","SA","814396",NA,469.05,1069.05,11,60,60,60,480,1110,20,FALSE,FALSE,"35","","Tyngsboro Rd & Pailet Dr","",c(208789.161566938, 932763.043312226)
"70","SA","814397",NA,486.65,1026.65,10,60,60,60,480,1110,20,FALSE,FALSE,"36","","Middlesex St & Canton St","",c(213641.296167952, 932018.527047973)
"71","SA","814399",NA,460.75,1051.9,20,31.1131578947368,51.15,45.4506089824917,480,1110,20,FALSE,FALSE,"39","","Old Elm St & Wilson St","",c(217667.047133847, 926697.429478789)
"72","SA","814400",NA,495.233333333333,1035.23333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"","","Chelmsford St & Independence Dr","",c(212654.949318547, 928100.028552908)
"73","SA","814401",NA,494.966666666667,1094.96666666667,11,60,60,60,480,1110,20,FALSE,FALSE,"41","","Middlesex St & Stevens St","",c(213572.147939017, 932003.10788433)
"74","SA","814402",NA,564.083333333333,1104.08333333333,7,90,90,90,480,1110,20,FALSE,FALSE,"42","","Carlisle St & Devine Ave","",c(215930.220781431, 929422.964361602)
"75","SA","814403",NA,519,1059,10,60,60,60,480,1110,20,FALSE,FALSE,"43","","Gorham St & Carlisle St","",c(216430.73415585, 928278.165377495)
"76","SA","814405",NA,478.016666666667,1083.01666666667,11,60.5,62.5,60.5165289256198,480,1110,20,FALSE,FALSE,"45","","Old Meadow Rd & Avon St","",c(213359.057838541, 934179.147148875)
"77","SA","814406",NA,471.116666666667,1127.21666666667,32,21.1645161290323,40.0333333333334,33.3902843401244,480,1110,20,TRUE,FALSE,"46","","Father Norton Manor","",c(216281.204140897, 932589.007702437)
"78","SA","814407",NA,494.333333333333,1104.33333333333,11,61,61,61.1475409836065,480,1110,20,FALSE,FALSE,"48","","Westford St & Gates St","",c(214723.665526474, 931799.053236168)
"79","SA","814408",NA,523.5,1105.78333333333,17,36.3927083333333,60,44.9548220129567,480,1110,20,FALSE,FALSE,"49","","Gorham St & Lundberg St","",c(215947.559656087, 930186.700450268)
"80","SA","814410",NA,505.25,1045.25,10,60,60,60,480,1110,20,FALSE,FALSE,"51","","Dalton Rd & Cortez St","",c(212471.852781327, 928695.660307951)
"81","SA","814411",NA,485.583333333333,1096.55,22,29.0936507936508,59.0333333333334,57.2518249768128,480,1110,20,FALSE,FALSE,"52","","Drum Hill Rd & Technology Dr","",c(211661.496920989, 930710.340610525)
"82","SA","814413",NA,530.733333333333,1070.73333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"54","","Dalton Rd & Woodlawn Ave","",c(212439.314518648, 928685.61052761)
"83","SA","814414",NA,582.166666666667,1122.16666666667,10,60,60,60,480,1110,20,FALSE,FALSE,"55","","Bridge St & Emerson Ave","",c(216112.695009328, 935091.89207949)
"84","SA","814415",NA,476.283333333333,1076.28333333333,11,60,60,60,480,1110,20,FALSE,FALSE,"56","","Middlesex St & Tobin Ave","",c(210561.236735896, 931695.717111271)
"85","SA","814417",NA,570.066666666667,1110.06666666667,10,60,60,60,480,1110,20,FALSE,FALSE,"58","","Lakeview Ave & Doyle Ave","",c(214153.140320414, 935535.253589381)
"86","SA","814418",NA,459,1149,46,15.3333333333333,19,16.4820450885668,480,1110,20,TRUE,TRUE,"59","","Middlesex & Elliot St","",c(215496.679930968, 932311.085320641)
"87","SA","814419",NA,534.833333333333,1074.83333333333,10,60,60,60,480,1110,20,FALSE,FALSE,"60","","1337 Lakeview","",c(214047.515957829, 935634.926936882)
"88","SA","814421",NA,509,1049,10,60,60,60,480,1110,20,FALSE,FALSE,"62","","Pollard St and High St","",c(218205.993334578, 925392.156979803)
"89","SA","814422",NA,522.75,1105.08333333333,17,36.3958333333333,60,44.9526807861095,480,1110,20,FALSE,FALSE,"63","","Gorham St & Cosgrove St","",c(216024.239127324, 929871.896229141)
"90","SA","814424",NA,463.6,1063.6,11,60,60,60,480,1110,20,FALSE,FALSE,"65","","Durnstable Rd & Dunshire Dr","",c(208608.358302717, 932456.104037389)
"91","SA","814425",NA,541.75,1081.75,10,60,60,60,480,1110,20,FALSE,FALSE,"66","","Stewart St & Tyngsboro Rd","",c(210309.986767603, 936582.400062763)
