"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","platform_code","stop_name","stop_desc","geometry"
"67","SA","799189",NA,323.533333333333,1338.53333333333,39,26.7105263157895,55.5,38.8195270935961,480,1110,20,TRUE,FALSE,"010","","North Main St and Lebanon St","",c(239775.163501209, 871446.134052182)
"68","SA","799190",NA,323.716666666667,1338.71666666667,39,26.7105263157895,55.25,38.6969014778325,480,1110,20,TRUE,FALSE,"011","","North Main St and East Ashland St","",c(239769.620195639, 871562.575719653)
"69","SA","799191",NA,324.066666666667,1339.06666666667,39,26.7105263157895,54.8000000000001,38.4844778325123,480,1110,20,TRUE,FALSE,"012","","North Main St and Snow Ave","",c(239771.569866674, 871774.403175436)
"70","SA","799193",NA,448.65,1030.81666666667,11,58.2166666666667,60,58.7083214047142,480,1110,20,FALSE,FALSE,"014","","North Main St at Edith Stein Church","",c(239721.948405073, 872153.993901747)
"71","SA","799194",NA,325.116666666667,1340.11666666667,39,26.7105263157895,53.3666666666667,37.8619534756431,480,1110,20,TRUE,FALSE,"015","","North Main St and Vine St","",c(239624.825712464, 872346.937303438)
"72","SA","799195",NA,325.25,1340.25,39,26.7105263157895,53.2166666666667,37.8018385331144,480,1110,20,TRUE,FALSE,"016","","North Main St and Ames St","",c(239597.880681319, 872402.100488029)
"73","SA","799196",NA,325.766666666667,1340.76666666667,39,26.7105263157895,52.55,37.5439704433497,480,1110,20,TRUE,FALSE,"017","","North Main St and Emerson Ave","",c(239433.805624206, 872661.759320001)
"74","SA","799197",NA,326,1341,39,26.7105263157895,52.2333333333333,37.4291521620142,480,1110,20,TRUE,FALSE,"018","","North Main St and Field St","",c(239334.693817109, 872769.058158664)
"75","SA","799198",NA,326.233333333333,1341.23333333333,39,26.7105263157895,51.95,37.3280301039956,480,1110,20,TRUE,FALSE,"019","","North Main St and Howard St","",c(239237.874397012, 872866.263470885)
"76","SA","799199",NA,326.55,1341.55,39,26.7105263157895,51.5666666666666,37.1981587301587,480,1110,20,TRUE,FALSE,"020","","North Main St and Snell St","",c(239106.228989336, 872994.599635235)
"77","SA","799200",NA,326.85,1341.85,39,26.7105263157895,51.1833333333334,37.0743245758073,480,1110,20,TRUE,FALSE,"021","","North Main St and Albion St","",c(238977.326281507, 873121.398378883)
"78","SA","799201",NA,327.516666666667,1342.51666666667,39,26.7105263157895,50.3166666666666,36.8154822112753,480,1110,20,TRUE,FALSE,"022","","North Main St and Waldo St","",c(238713.890762622, 873423.844269401)
"79","SA","799202",NA,327.666666666667,1342.66666666667,39,26.7105263157895,50.1333333333333,36.7646967706623,480,1110,20,TRUE,FALSE,"023","","North Main St and Frankton St","",c(238675.078510669, 873503.493077501)
"80","SA","799203",NA,327.966666666667,1342.96666666667,39,26.7105263157895,49.7333333333333,36.6595889436234,480,1110,20,TRUE,FALSE,"024","","North Main St and Augustine St","",c(238600.45454073, 873674.137243152)
"81","SA","799204",NA,328.133333333333,1343.13333333333,39,26.7105263157895,49.5166666666667,36.6045621237001,480,1110,20,TRUE,FALSE,"025","","North Main St and Wilder St","",c(238560.754776891, 873765.333462708)
"82","SA","799205",NA,455.533333333333,1039.43333333333,11,58.39,60,58.7895358794314,480,1110,20,FALSE,FALSE,"026","","East Main St and Fletcher Rd","",c(238529.183819992, 873973.423477)
"83","SA","799206",NA,456.15,1040.2,11,58.405,60,58.7970250834689,480,1110,20,FALSE,FALSE,"027","","East Main St and Connolly Rd","",c(238563.170722521, 874170.542309085)
"84","SA","799207",NA,456.783333333333,1040.98333333333,11,58.42,60,58.8045874700445,480,1110,20,FALSE,FALSE,"028","","East Main St and Lambert Dr","",c(238593.729419876, 874374.195941061)
"85","SA","799208",NA,458.066666666667,1042.58333333333,11,58.4516666666667,60,58.8207925826656,480,1110,20,FALSE,FALSE,"029","","East Main St and Memorial Dr","",c(238516.556164134, 874786.52304904)
"86","SA","799209",NA,460,1050,22,28.0952380952381,55,50,480,1110,20,FALSE,FALSE,"030","","Walmart","",c(238790.935635365, 874664.650895889)
"87","SA","799210",NA,406.7,1406.7,39,26.3157894736842,51.0333333333334,34.3020777777778,480,1110,20,TRUE,FALSE,"031","","West Main St and South St","",c(238072.45744497, 874474.772285749)
"88","SA","799211",NA,464.833333333333,1056.03333333333,11,59.12,60,59.2378890392422,480,1110,20,FALSE,FALSE,"032","","West Main St and Glendower St","",c(238110.358240407, 874393.226950866)
"89","SA","799212",NA,409.266666666667,1409.26666666667,39,26.3157894736842,50.9333333333333,34.2776088888889,480,1110,20,TRUE,FALSE,"033","","Maguire Road","",c(238440.927993832, 873930.734080107)
"90","SA","799213",NA,409.633333333333,1409.63333333333,39,26.3157894736842,50.9,34.267745,480,1110,20,TRUE,FALSE,"034","","West Main St and East Main St","",c(238498.172208425, 873852.073124985)
"91","SA","799214",NA,409.916666666667,1409.91666666667,39,26.3157894736842,50.8833333333333,34.2633522222222,480,1110,20,TRUE,FALSE,"035","","North Main St and Burkeside Ave","",c(238537.311554943, 873787.531088293)
"92","SA","799215",NA,410.283333333333,1410.28333333333,39,26.3157894736842,50.8666666666667,34.2589805555556,480,1110,20,TRUE,FALSE,"036","","North Main St and Hillcrest Ave","",c(238576.769571041, 873703.108887297)
"93","SA","799216",NA,410.933333333333,1410.93333333333,39,26.3157894736842,50.8166666666666,34.2449172222222,480,1110,20,TRUE,FALSE,"037","","North Main St and Woodland Ave","",c(238644.682763911, 873541.535713897)
"94","SA","799217",NA,411.566666666667,1411.56666666667,39,26.3157894736842,50.7833333333334,34.2363438888889,480,1110,20,TRUE,FALSE,"038","","North Main St and Manners Ave","",c(238719.854364645, 873392.110037503)
"95","SA","799218",NA,412.183333333333,1412.18333333333,39,26.3157894736842,50.75,34.227855,480,1110,20,TRUE,FALSE,"039","","North Main St and Willow St","",c(238821.865844239, 873265.602850644)
"96","SA","799219",NA,412.866666666667,1412.86666666667,39,26.3157894736842,50.7166666666667,34.2194505555556,480,1110,20,TRUE,FALSE,"040","","North Main St and May Ave","",c(238949.286678047, 873136.571624636)
"97","SA","799220",NA,413.45,1413.45,39,26.3157894736842,50.6666666666667,34.2054644444445,480,1110,20,TRUE,FALSE,"041","","North Main St and Searles Ave","",c(239059.069138832, 873027.104986208)
"98","SA","799221",NA,413.833333333333,1413.83333333333,39,26.3157894736842,50.6500000000001,34.2013438888889,480,1110,20,TRUE,FALSE,"042","","North Main St and Martland Ave","",c(239131.753427401, 872955.865526838)
"99","SA","799222",NA,414.433333333333,1414.43333333333,39,26.3157894736842,50.6166666666666,34.1931661111111,480,1110,20,TRUE,FALSE,"043","","North Main St and Oak St","",c(239242.218025496, 872843.739759073)
"100","SA","799223",NA,415.2,1415.2,39,26.3157894736842,50.5666666666667,34.1802555555556,480,1110,20,TRUE,FALSE,"044","","North Main St and Herrod Ave","",c(239386.520267625, 872701.259401631)
"101","SA","799224",NA,415.7,1415.7,39,26.3157894736842,50.5500000000001,34.1770638888889,480,1110,20,TRUE,FALSE,"045","","North Main St and Rutland St","",c(239460.311138812, 872596.041086407)
"102","SA","799225",NA,416.75,1416.75,39,26.3157894736842,50.4666666666667,34.1548977777778,480,1110,20,TRUE,FALSE,"046","","North Main St and Vine St","",c(239605.580083132, 872356.714757311)
"103","SA","799226",NA,417.15,1417.15,39,26.3157894736842,50.4499999999999,34.1510105555555,480,1110,20,TRUE,FALSE,"047","","North Main St and Upland Road","",c(239646.814983331, 872261.090167321)
"104","SA","799227",NA,417.6,1417.6,39,26.3157894736842,50.4166666666667,34.1424505555556,480,1110,20,TRUE,FALSE,"048","","North Main St and Landsdowne St","",c(239688.123084938, 872167.354480154)
"105","SA","799228",NA,418.766666666667,1418.76666666667,39,26.3157894736842,50.35,34.1268188888889,480,1110,20,TRUE,FALSE,"050","","North Main St and Division St","",c(239748.788832668, 871882.793276746)
"106","SA","799229",NA,419.55,1419.55,39,26.3157894736842,50.3,34.114745,480,1110,20,TRUE,FALSE,"051","","North Main St and Ford St","",c(239758.549058889, 871677.474014975)
"107","SA","799230",NA,419.883333333333,1419.88333333333,39,26.3157894736842,50.2833333333333,34.1110522222222,480,1110,20,TRUE,FALSE,"052","","North Main St and West Ashland St","",c(239758.865508379, 871591.949489367)
"108","SA","799231",NA,420.183333333333,1420.18333333333,39,26.3157894736842,50.25,34.102375,480,1110,20,TRUE,FALSE,"053","","North Main St and Huntington St","",c(239758.66494561, 871510.087472616)
"109","SA","799232",NA,420.9,1420.9,39,26.3157894736842,50.25,34.1060105555555,480,1110,20,TRUE,FALSE,"055","","North Main St and Prospect St","",c(239760.33560808, 871331.047052719)
"110","SA","799233",NA,421.366666666667,1421.36666666667,39,26.3157894736842,50.2166666666667,34.0978772222222,480,1110,20,TRUE,FALSE,"056","","North Main St and Falmouth Ave","",c(239760.799626058, 871204.64850677)
"111","SA","799234",NA,421.883333333333,1421.88333333333,39,26.3157894736842,50.1833333333333,34.0898061111111,480,1110,20,TRUE,FALSE,"057","","North Main St and Wyman St","",c(239760.159970506, 871083.242049719)
"112","SA","799235",NA,422.45,1422.45,39,26.3157894736842,50.1500000000001,34.0827438888889,480,1110,20,TRUE,FALSE,"058","","North Main St and Haverhill St","",c(239755.859125888, 870936.157114457)
"113","SA","799236",NA,423.333333333333,1423.33333333333,53,19.2307692307692,39,29.6548911111111,480,1110,20,TRUE,FALSE,"059","","Linden St and North Montello St","",c(239925.125540706, 870864.80419646)
"114","SA","799237",NA,424,1424,53,19.2307692307692,39,29.6760894444444,480,1110,20,TRUE,FALSE,"060","","North Montello St and Court St","",c(239951.894162781, 870696.124698322)
"115","SA","799238",NA,418.383333333333,1418.38333333333,39,26.3157894736842,50.3666666666667,34.1301577777778,480,1110,20,TRUE,FALSE,"049","","North Main St and Battles St","",c(239730.362470667, 871981.877835708)
"116","SA","799239",NA,420.45,1420.45,28,37.037037037037,60,40.75,480,1110,20,TRUE,FALSE,"054","","North Main St and Farrington St","",c(239760.252555239, 871448.561917515)
"117","SA","799240",NA,442.416666666667,1263.01666666667,15,58.6142857142857,60,59.0401657323909,480,1110,20,TRUE,FALSE,"070","","Montello St and School St","",c(239937.253204503, 870341.596547122)
"118","SA","799241",NA,443.333333333333,1264.16666666667,15,58.6309523809524,60,59.0465313028765,480,1110,20,TRUE,FALSE,"071","","Crescent St and VFW Pkwy","",c(239821.892600586, 870215.776845392)
"119","SA","799242",NA,444.316666666667,1265.4,15,58.6488095238095,60,59.0534947055042,480,1110,20,TRUE,FALSE,"072","","Maple Ave and Main St","",c(239699.968247529, 870061.587175604)
"120","SA","799243",NA,444.833333333333,1266.05,15,58.6583333333333,60,59.0572690249562,480,1110,20,TRUE,FALSE,"073","","Main St and Barlett St","",c(239716.716413356, 869923.284580744)
"121","SA","799244",NA,445.3,1266.63333333333,15,58.6666666666667,60,59.0606060606061,480,1110,20,TRUE,FALSE,"074","","Main St and Park St","",c(239734.813736607, 869795.319417795)
"122","SA","799245",NA,446.266666666667,1267.83333333333,15,58.6833333333333,60,59.0673766922276,480,1110,20,TRUE,FALSE,"075","","Main St and Dover St","",c(239770.647847683, 869530.279277154)
"123","SA","799246",NA,446.733333333333,1268.41666666667,15,58.6916666666667,60,59.070810260779,480,1110,20,TRUE,FALSE,"076","","Main St and Williams Pl","",c(239792.230054606, 869401.012182907)
"124","SA","799247",NA,447.033333333333,1268.8,15,58.697619047619,60,59.073282494355,480,1110,20,TRUE,FALSE,"077","","Main St and Forest Ave","",c(239806.023382731, 869317.663167859)
"125","SA","799248",NA,447.933333333333,1269.93333333333,15,58.7142857142857,60,59.0802919708029,480,1110,20,TRUE,FALSE,"078","","Main St and David St","",c(239861.362362446, 869072.726736803)
"126","SA","799249",NA,448.35,1270.45,15,58.7214285714286,60,59.0833353606617,480,1110,20,TRUE,FALSE,"079","","Main St and Sheppard St","",c(239896.419142101, 868961.296656869)
"127","SA","799250",NA,448.566666666667,1270.71666666667,15,58.725,60,59.0848659003831,480,1110,20,TRUE,FALSE,"080","","Main St and Tribou St","",c(239912.711303129, 868904.741649707)
"128","SA","799251",NA,449.216666666667,1271.53333333333,15,58.7369047619048,60,59.0900102690907,480,1110,20,TRUE,FALSE,"081","","Main St and Nilsson St","",c(239960.280906455, 868732.29265163)
"129","SA","799252",NA,449.916666666667,1272.4,15,58.7488095238095,60,59.0952200990226,480,1110,20,TRUE,FALSE,"082","","Main St and Calmar St","",c(240011.563500213, 868547.647042203)
"130","SA","799253",NA,450.7,1273.38333333333,15,58.7630952380952,60,59.1015582477395,480,1110,20,TRUE,FALSE,"083","","Main St and West Chestnut St","",c(240070.197874745, 868336.830400607)
"131","SA","799254",NA,451.083333333333,1273.86666666667,15,58.7702380952381,60,59.1047626282064,480,1110,20,TRUE,FALSE,"084","","Main St and South St","",c(240097.011653799, 868235.240063356)
"132","SA","799255",NA,451.85,1274.81666666667,15,58.7833333333333,60,59.1106984216993,480,1110,20,TRUE,FALSE,"085","","Main St and Lyon St","",c(240153.887068599, 868028.968156355)
"133","SA","799256",NA,452.383333333333,1275.48333333333,15,58.7928571428571,60,59.1150649981776,480,1110,20,TRUE,FALSE,"086","","Main St and Clifton Ave - CVS","",c(240191.109361918, 867887.784472118)
"134","SA","799257",NA,453.133333333333,1276.41666666667,15,58.8059523809524,60,59.1211372485509,480,1110,20,TRUE,FALSE,"087","","Main St and Glen Ave","",c(240242.638434812, 867691.03514709)
"135","SA","799258",NA,454,1277.5,29,29.4107142857143,39.3,32.4997355461107,480,1110,20,TRUE,FALSE,"088","","Campello Hi Rise","",c(240328.260594632, 867621.862123762)
"136","SA","799259",NA,454.7,1278.38333333333,15,58.8345238095238,60,59.1346596925733,480,1110,20,TRUE,FALSE,"089","","Main St and Brookside Ave","",c(240281.044809716, 867531.531742303)
"137","SA","799260",NA,455.166666666667,1278.96666666667,15,58.8428571428571,60,59.1386744355426,480,1110,20,TRUE,FALSE,"090","","Main St and Watson St","",c(240316.610654492, 867405.88948734)
