"","DOW","stop_id","direction_id","firstArrival_mam","lastArrival_mam","trips","averageHeadway","Percentile90_hw","effectiveHeadway","span_min","span_max","freq_min","span_pass","freq_pass","stop_code","stop_name","stop_desc","geometry"
"40","SA","7ca11456-969c-43d0-a3e6-d0b6dcd50a10",NA,550,1005,11,45.5,47.1,45.5230769230769,480,1110,20,FALSE,FALSE,"F66","Tarelli Ter/Waverly St","",c(207991.713319306, 892152.430577693)
"41","SA","7e3c3f82-c136-40a4-aea1-d2303c9690dd",NA,530,995,12,42.2727272727273,90,82.2086021505376,480,1110,20,FALSE,FALSE,"W5","Woodland MBTA Train Station","",c(221171.965098025, 898108.536218163)
"42","SA","7f81b88d-02a0-463a-be76-ae4e76d91da1",NA,539,1006,8,66.7142857142857,69,66.8458244111349,480,1110,20,FALSE,FALSE,"F14","Staples Drive","",c(200960.228697715, 893399.992982597)
"43","SA","82afee5a-a373-4673-b9d0-cab9c40edce6",NA,561,1018,11,45.7,49,45.7614879649891,480,1110,20,FALSE,FALSE,"F04","Bethany Hill","",c(205558.92433563, 890896.677660991)
"44","SA","82e716bb-1434-4367-87eb-181ea29743e5",NA,548,1022,6,94.8,102.6,95.2025316455696,480,1110,20,FALSE,FALSE,"N29","Cedar Terrace","",c(211904.069272234, 891394.079392998)
"45","SA","881ad83b-9563-4ae5-8569-032768b27578",NA,554,977,10,47,71.4,57.0425531914894,480,1110,20,FALSE,FALSE,"MB18","Hannafords Plaza Marlborough","",c(192451.609630373, 898809.888882131)
"46","SA","8836b64d-6492-4cad-aee4-dff14001f563",NA,564,1021,11,45.7,49,45.7614879649891,480,1110,20,FALSE,FALSE,"F68","Memorial House (Winthrop & Hollis)","",c(206601.465594828, 891069.517632768)
"47","SA","8ff6b02f-424d-47ac-bebe-221ff72ad6fe",NA,571,968,7,66.1666666666667,68.5,66.2695214105793,480,1110,20,FALSE,FALSE,"F53","Nobscot Shopping Center","",c(205417.946826245, 897579.411417226)
"48","SA","971b9fce-55fe-420c-8e6a-550961919153",NA,553,1017,22,22.0952380952381,57,38.1551724137931,480,1110,20,FALSE,FALSE,"F15","MetroWest Medical Center","",c(206594.706044002, 892659.65709938)
"49","SA","973e7245-055e-4757-a16e-259d6e4c6d02",NA,604,1023,10,46.5555555555556,76,60.255369928401,480,1110,20,FALSE,FALSE,"MB14","Post Road Shopping Center","",c(197034.122663825, 900144.615054693)
"50","SA","9e7ed194-bd09-401e-9080-631f5fb9e4fa",NA,526,995,6,93.8,100.6,94.1599147121535,480,1110,20,FALSE,FALSE,"N44","Moran Park/Downtown MBTA","",c(212556.525046339, 892786.083438323)
"51","SA","a3640a4a-c010-4521-bc02-b37f2d886148",NA,550,1025,6,95,103,95.4210526315789,480,1110,20,FALSE,FALSE,"N28","Cedar Gardens","",c(211931.66625573, 891495.27205785)
"52","SA","a3b507bc-cafe-4071-958c-dec4706d2474",NA,524,1004,14,36.9230769230769,64.2,48.9625,480,1110,20,FALSE,FALSE,"F29","Rose Kennedy Lane","",c(207136.927043295, 893342.100845639)
"53","SA","a8f64f01-0325-4fb4-bf93-aef4366af89f",NA,555,950,7,65.8333333333333,67.5,65.8860759493671,480,1110,20,FALSE,FALSE,"F84","Callahan Center","",c(205960.21383615, 893682.801761006)
"54","SA","a9cb54ef-5213-4abd-8314-1c47ee85a2a5",NA,556,1012,11,45.6,48.1,45.6491228070175,480,1110,20,FALSE,FALSE,"F02","Framingham MBTA Station","",c(206782.67710012, 891790.085602421)
"55","SA","a9f61865-59af-41f8-95c8-547fa186ddb8",NA,559,999,7,73.3333333333333,75.5,73.4136363636364,480,1110,20,FALSE,FALSE,"F20","Nobscot Fire Station","",c(205583.671261958, 897676.36808431)
"56","SA","b03a9fbb-fdfa-4ab5-9402-991021410042",NA,559,1038,20,25.2105263157895,53.6,36.6951983298539,480,1110,20,FALSE,FALSE,"F16","Framingham Center","",c(205397.635937393, 894448.620361832)
"57","SA","b6082ce2-98f7-4a0a-a732-b515d167c4f8",NA,614,1010,5,99,100,99.030303030303,480,1110,20,FALSE,FALSE,"MB21","Target Marlborough","",c(199618.88436818, 899735.53686648)
"58","SA","b6ba290f-922e-4480-b04f-445cbfc8ac13",NA,612.85,1016.86666666667,10,44.8907407407407,91.8833333333333,82.3369958610068,480,1110,20,FALSE,FALSE,"MB15","Farm Road & Route 20","",c(199319.757255508, 899707.405036441)
"59","SA","b733ee7a-78ab-4474-b453-439df425e3fd",NA,540,1012,6,94.4,101.8,94.7754237288136,480,1110,20,FALSE,FALSE,"N17","Senior Center","",c(213392.736270536, 892860.481237531)
"60","SA","b80dcf9b-8f7b-4b28-a288-01fbb3c2fc15",NA,1025.36666666667,1025.36666666667,1,NA,NA,NA,480,1110,20,FALSE,NA,"F05","Concord St & Howard St/Downtown Common","",c(206864.630815334, 891911.83206545)
"61","SA","b9d83aa7-3d4f-43bb-886f-447d8d31b7df",NA,563,1008,14,34.2307692307692,49.8,41.2247191011236,480,1110,20,FALSE,FALSE,"F81","St Patricks Manor","",c(205774.715280026, 895335.250669674)
"62","SA","bca44d7c-4431-4e9a-9156-5ae55ee413e4",NA,562,1030,21,23.4,46.3,34.3333333333333,480,1110,20,FALSE,FALSE,"F25","Shoppers World Shelter","",c(208664.549392432, 894374.766602209)
"63","SA","c0edc72a-7821-492a-a60a-a95bff165e98",NA,520,980,6,92,95.6,92.1869565217391,480,1110,20,FALSE,FALSE,"W19","Weston Rd","",c(215446.104454583, 895000.670708489)
"64","SA","c48fffe4-1842-4c6e-8999-7196473af1ae",NA,582,1010,8,61.1428571428571,63.2,61.2710280373832,480,1110,20,FALSE,FALSE,"F70","Union Ave/ Lincoln St.","",c(206464.512084809, 892739.117187375)
"65","SA","cb816f41-d2a5-4e37-80a2-67be7895cfaa",NA,588,1027,14,33.7692307692308,63.8,45.1503416856492,480,1110,20,FALSE,FALSE,"MB7","Main St","",c(196171.87954746, 899630.505910354)
"66","SA","ce76635d-25b6-4a57-be84-d8d752274e48",NA,480,1060,59,10,25.3,20.3137931034483,480,1110,20,FALSE,FALSE,"BH","Blandin Hub","15 Blandin Ave Hub",c(207271.920595151, 891715.039044538)
"67","SA","d05e1ba2-243c-487a-a043-fafbe84749ac",NA,499,955,6,91.2,95.6,91.5,480,1110,20,FALSE,FALSE,"F34","High St","",c(205301.851554522, 894407.893915742)
"68","SA","d380719e-09d7-4b21-9ec6-852e339ce2ce",NA,534,1005,6,94.2,101.4,94.5668789808917,480,1110,20,FALSE,FALSE,"N16","Leonard Morse Hospital","",c(213686.175435842, 892222.27841891)
"69","SA","e090f95b-ae87-482d-ae80-b41e78745b49",NA,510,976,13,38.8333333333333,69.9,55.6695278969957,480,1110,20,FALSE,FALSE,"N22","Sherwood Plaza","",c(209448.61017851, 894267.28300838)
"70","SA","e0cb1216-2b30-40e3-bd7c-345540011dd6",NA,568,1025,11,45.7,49,45.7614879649891,480,1110,20,FALSE,FALSE,"A3","Market Basket","",c(206028.129629073, 889668.158569661)
"71","SA","e31c1291-d515-40be-9fa7-7c9957a40d91",NA,500,1028,9,66,103,86.7765151515152,480,1110,20,FALSE,FALSE,"F12","Stop and Shop","",c(204225.02126146, 894149.142054533)
"72","SA","e64db440-9753-4405-b36b-0b2be2a507f6",NA,490,1041,51,11.02,28.3,24.5789473684211,480,1110,20,FALSE,FALSE,"F56","Banana Lot/Intermodal Center","Framingham MBTA (Rear)",c(206802.845211314, 891848.934513652)
"73","SA","ee992cdc-6325-4e10-81e4-478fe91cb0c9",NA,555,995,14,33.8461538461538,63.2,47.6818181818182,480,1110,20,FALSE,FALSE,"F21","Pinefield","",c(208027.324823594, 897293.113499244)
"74","SA","f1b3715d-148f-4a30-845f-45dcf2b67488",NA,551,945,5,98.5,101.1,98.5532994923858,480,1110,20,FALSE,FALSE,"MB3","Route 20 & Felton St","",c(193513.397390787, 898983.874194049)
"75","SA","f22eb7a5-49ec-4a71-9166-a2c5ad582e52",NA,544,1018,6,94.8,102.6,95.2025316455696,480,1110,20,FALSE,FALSE,"N30","Coolidge Gardens","",c(212613.362216866, 892239.936417075)
"76","SA","f5053b07-3236-4a92-8811-55c2dd7ee000",NA,485,1038,12,50.2727272727273,87,70.3309222423146,480,1110,20,FALSE,FALSE,"F86","Second St at Rec Center","",c(208241.899896617, 891804.741418642)
"77","SA","f50f48a6-e47a-4c1c-8f35-a80047ac2bc6",NA,533,1021,8,69.7142857142857,90,77.6106557377049,480,1110,20,FALSE,FALSE,"F49","Halstead Apartments","",c(202526.22250449, 893682.517793856)
"78","SA","fc96bab4-cc32-4985-ac8e-79c75beac40e",NA,523,1003,14,36.9230769230769,64.2,48.9625,480,1110,20,FALSE,FALSE,"F28","MassBay Community College","",c(207171.287908126, 893432.979749299)
"79","WD","0033fe20-3ebf-4ffc-ba74-723fde22fefb",NA,360,1175,26,32.6,70,68.2932515337423,420,1140,20,TRUE,FALSE,"HP5","South St & Hayward St","",c(196258.532609293, 883856.470012145)
"80","WD","0102c992-9895-4ccf-8ea1-d469fefb1dc1",NA,397,1166,56,13.9818181818182,39.6,35.4239271781534,420,1140,20,TRUE,FALSE,"MB22","Newton and Weed St","",c(195826.156022113, 899507.210616784)
"81","WD","02f044a5-b26f-4a43-b319-346c57906bd5",NA,350,1165,13,67.9166666666667,72.7,68.2687116564417,420,1140,20,TRUE,FALSE,"HP4","Route 85 & Route 135","",c(198188.815844155, 886445.164056286)
"82","WD","038a8988-55e4-4a23-959d-b44372917669",NA,447,1087,20,33.6842105263158,51,40.446875,420,1140,20,FALSE,FALSE,"H5","Machado House","",c(194459.847863817, 904923.216651929)
"83","WD","06cdfc3a-7463-45b1-8c02-f41ef532498c",NA,386.5,1147.5,12,69.1818181818182,85,77.9776609724047,420,1140,20,TRUE,FALSE,"MB6","Maple St / Walker St","",c(196614.794931761, 898072.701296081)
"84","WD","08763347-0cd0-4182-bd93-94b4bf79b609",NA,483.233333333333,1193.86666666667,11,71.0633333333333,78.4,71.3941007239239,420,1140,20,FALSE,FALSE,"HL2","Mission Springs","",c(204622.711225978, 880977.583842342)
"85","WD","0895529e-8620-49e2-96b7-b2bc7482193b",NA,410,1206,18,46.8235294117647,57.2,48.3994974874372,420,1140,20,TRUE,FALSE,"N57","Avenu at Natick","",c(209910.740141996, 894510.581031102)
